territoire;specialite;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;TOUTES SPECIALITES;8313;3796;4517;42;276;325;455;431;603;761;495;223;185;14;133;195;201;232;638;1057;793;517;737
Région Flandre;TOUTES SPECIALITES;4859;2226;2633;27;150;178;296;257;381;464;276;117;80;6;72;93;120;108;347;665;488;300;434
Région Wallonie;TOUTES SPECIALITES;2491;1131;1360;13;79;91;120;130;159;239;159;74;67;5;37;53;54;74;216;293;247;168;213
Région Région de Bruxelles-capitale;TOUTES SPECIALITES;963;439;524;2;47;56;39;44;63;58;60;32;38;3;24;49;27;50;75;99;58;49;90
Prov Brabant flamand;TOUTES SPECIALITES;1090;576;514;3;33;39;85;76;101;124;66;28;21;3;17;16;33;22;87;126;89;52;69
Prov Flandre occidentale;TOUTES SPECIALITES;903;378;525;9;36;39;49;43;45;73;49;21;14;0;13;20;17;15;46;136;102;72;104
Prov Flandre orientale;TOUTES SPECIALITES;1052;479;573;9;31;36;69;53;73;91;63;36;18;2;17;20;34;31;72;120;114;64;99
Prov Anvers;TOUTES SPECIALITES;1198;529;669;2;35;35;55;58;118;118;64;21;23;1;14;21;25;33;104;180;115;66;110
Prov Limbourg;TOUTES SPECIALITES;616;264;352;4;15;29;38;27;44;58;34;11;4;0;11;16;11;7;38;103;68;46;52
Prov Brabant wallon;TOUTES SPECIALITES;488;266;222;2;14;20;28;33;31;59;41;18;20;1;5;4;14;12;34;42;44;28;38
Prov Hainaut;TOUTES SPECIALITES;663;293;370;8;18;13;38;39;41;68;40;11;17;2;11;15;14;19;54;75;73;49;58
Prov Liège;TOUTES SPECIALITES;879;367;512;3;37;44;30;34;54;81;45;23;16;2;16;21;17;26;82;124;75;69;80
