territoire;spécialité;total;genre_femme;genre_homme;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Belgique;Toutes les spécialités;5075;2111;2964;181;329;339;349;318;193;148;254;156;205;228;302;304;374;378;1017
Belgique;Nucléaire in vitro;191;77;114;0;0;0;2;8;16;28;23;0;2;0;1;3;13;23;72
Belgique;Réadaptation fonctionnelle et professionnelle des handicapés;988;399;589;13;22;36;65;81;38;35;109;11;21;28;33;41;55;53;347
Belgique;Gériatrie;136;49;87;0;0;9;8;13;6;7;6;0;0;1;5;4;5;10;62
Belgique;Chirurgie orale et maxillo-faciale;238;63;175;8;14;14;10;8;2;4;3;15;24;24;22;16;23;17;34
Belgique;Soins intensifs;1095;378;717;48;88;61;66;55;36;11;13;74;83;79;76;83;96;102;124
Belgique;Neurologie pédiatrique;117;90;27;14;13;17;14;8;4;3;17;1;2;1;2;3;2;3;13
Belgique;Néphrologie;398;176;222;25;35;42;24;22;10;5;13;14;19;27;21;21;25;25;70
Belgique;Médecine d'urgence;506;150;356;9;17;22;29;24;23;7;19;8;18;24;50;56;55;50;95
Belgique;Endocrino-diabétologie;398;234;164;25;48;36;40;32;19;13;21;8;7;8;23;17;14;15;72
Belgique;Néonatologie;157;112;45;8;18;22;15;22;14;6;7;1;6;4;7;7;6;6;8
Belgique;Oncologie;362;151;211;14;38;35;38;12;5;7;2;10;13;13;31;28;36;35;45
Belgique;Hématologie et oncologie pédiatrique;49;36;13;2;4;7;6;3;3;6;5;1;0;3;1;3;3;0;2
Belgique;Hématologie clinique;194;103;91;14;26;20;17;9;8;5;4;13;6;5;16;5;19;7;20
Belgique;Gestion des données de santé;102;29;73;0;0;0;1;4;4;8;12;0;0;1;0;2;11;20;39
Belgique;Psychiatrie médico-légale;42;14;28;0;2;5;1;3;3;0;0;0;0;1;4;5;4;4;10
Belgique;Infectiologie clinique;37;16;21;1;2;4;4;4;0;1;0;0;2;4;5;3;2;3;2
Belgique;Microbiologie médicale;65;34;31;0;2;9;9;10;2;2;0;0;2;5;5;7;5;5;2
Région flamande;Toutes les spécialités;3128;1320;1808;117;229;238;223;219;119;78;97;114;150;158;192;197;222;219;556
Région flamande;Nucléaire in vitro;100;34;66;0;0;0;2;6;10;10;6;0;1;0;1;3;8;13;40
Région flamande;Réadaptation fonctionnelle et professionnelle des handicapés;628;261;367;12;19;31;49;60;27;17;46;11;20;23;22;27;36;27;201
Région flamande;Gériatrie;92;34;58;0;0;9;5;10;3;4;3;0;0;1;4;2;3;8;40
Région flamande;Chirurgie orale et maxillo-faciale;173;39;134;4;12;11;3;6;0;1;2;11;18;22;19;10;16;14;24
Région flamande;Soins intensifs;730;282;448;37;59;50;52;47;24;8;5;55;59;55;51;54;53;57;64
Région flamande;Neurologie pédiatrique;64;48;16;7;9;8;7;6;3;2;6;0;1;0;2;3;1;2;7
Région flamande;Néphrologie;214;99;115;15;23;23;13;14;3;4;4;4;13;15;14;10;14;11;34
Région flamande;Médecine d'urgence;291;88;203;8;17;14;19;15;8;1;6;6;14;18;30;35;31;27;42
Région flamande;Endocrino-diabétologie;202;126;76;12;33;21;14;16;13;9;8;6;5;3;11;8;6;6;31
Région flamande;Néonatologie;83;57;26;5;10;11;5;10;10;4;2;0;4;2;2;5;4;5;4
Région flamande;Oncologie;260;114;146;8;29;27;28;10;5;6;1;9;10;8;19;20;25;25;30
Région flamande;Hématologie et oncologie pédiatrique;28;21;7;0;2;4;5;1;3;4;2;1;0;1;0;2;2;0;1
Région flamande;Hématologie clinique;107;57;50;8;12;13;11;5;4;2;2;11;3;2;6;4;8;6;10
Région flamande;Gestion des données de santé;45;9;36;0;0;0;0;1;1;3;4;0;0;1;0;2;7;7;19
Région flamande;Psychiatrie médico-légale;31;13;18;0;1;5;1;3;3;0;0;0;0;0;3;3;2;3;7
Région flamande;Infectiologie clinique;33;14;19;1;2;4;3;3;0;1;0;0;1;4;4;3;2;3;2
Région flamande;Microbiologie médicale;47;24;23;0;1;7;6;6;2;2;0;0;1;3;4;6;4;5;0
Région wallonne;Toutes les spécialités;1401;541;860;44;68;63;94;71;52;46;103;27;36;47;82;76;120;126;346
Région wallonne;Nucléaire in vitro;64;29;35;0;0;0;0;2;5;11;11;0;1;0;0;0;3;7;24
Région wallonne;Réadaptation fonctionnelle et professionnelle des handicapés;264;99;165;0;2;2;14;16;8;13;44;0;1;4;9;6;18;19;108
Région wallonne;Gériatrie;35;12;23;0;0;0;3;2;3;2;2;0;0;0;0;2;2;1;18
Région wallonne;Chirurgie orale et maxillo-faciale;37;11;26;1;2;2;6;0;0;0;0;2;3;1;2;5;6;2;5
Région wallonne;Soins intensifs;267;62;205;4;21;5;11;5;10;3;3;14;17;15;16;27;33;36;47
Région wallonne;Neurologie pédiatrique;40;31;9;5;4;5;7;2;0;1;7;1;0;1;0;0;1;1;5
Région wallonne;Néphrologie;127;52;75;8;8;10;7;7;5;1;6;6;3;6;6;7;8;10;29
Région wallonne;Médecine d'urgence;174;47;127;1;0;7;8;9;10;4;8;1;4;6;15;15;22;21;43
Région wallonne;Endocrino-diabétologie;137;78;59;11;9;11;17;16;3;4;7;1;2;3;9;5;6;8;25
Région wallonne;Néonatologie;44;32;12;3;5;6;4;7;2;1;4;0;1;2;4;1;1;1;2
Région wallonne;Oncologie;78;27;51;4;7;6;8;0;0;1;1;1;3;3;10;7;8;7;12
Région wallonne;Hématologie et oncologie pédiatrique;14;10;4;2;1;2;1;1;0;1;2;0;0;1;1;1;1;0;0
Région wallonne;Hématologie clinique;57;30;27;5;8;5;5;2;3;1;1;1;1;2;8;0;7;1;7
Région wallonne;Gestion des données de santé;46;14;32;0;0;0;1;0;3;3;7;0;0;0;0;0;3;11;18
Région wallonne;Psychiatrie médico-légale;6;1;5;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;2
Région wallonne;Infectiologie clinique;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Région wallonne;Microbiologie médicale;10;6;4;0;0;2;2;2;0;0;0;0;0;2;1;0;0;0;1
Région de Bruxelles Capitale;Toutes les spécialités;546;250;296;20;32;38;32;28;22;24;54;15;19;23;28;31;32;33;115
Région de Bruxelles Capitale;Nucléaire in vitro;27;14;13;0;0;0;0;0;1;7;6;0;0;0;0;0;2;3;8
Région de Bruxelles Capitale;Réadaptation fonctionnelle et professionnelle des handicapés;96;39;57;1;1;3;2;5;3;5;19;0;0;1;2;8;1;7;38
Région de Bruxelles Capitale;Gériatrie;9;3;6;0;0;0;0;1;0;1;1;0;0;0;1;0;0;1;4
Région de Bruxelles Capitale;Chirurgie orale et maxillo-faciale;28;13;15;3;0;1;1;2;2;3;1;2;3;1;1;1;1;1;5
Région de Bruxelles Capitale;Soins intensifs;98;34;64;7;8;6;3;3;2;0;5;5;7;9;9;2;10;9;13
Région de Bruxelles Capitale;Neurologie pédiatrique;13;11;2;2;0;4;0;0;1;0;4;0;1;0;0;0;0;0;1
Région de Bruxelles Capitale;Néphrologie;57;25;32;2;4;9;4;1;2;0;3;4;3;6;1;4;3;4;7
Région de Bruxelles Capitale;Médecine d'urgence;41;15;26;0;0;1;2;0;5;2;5;1;0;0;5;6;2;2;10
Région de Bruxelles Capitale;Endocrino-diabétologie;59;30;29;2;6;4;9;0;3;0;6;1;0;2;3;4;2;1;16
Région de Bruxelles Capitale;Néonatologie;30;23;7;0;3;5;6;5;2;1;1;1;1;0;1;1;1;0;2
Région de Bruxelles Capitale;Oncologie;24;10;14;2;2;2;2;2;0;0;0;0;0;2;2;1;3;3;3
