Gebied-Specialiteit;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Man;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18
;;;Vrouw;Man;-25;25-29;30-34;35-39;40-44;50-54;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59
België;Alle specialiteiten;335.0;204;131;74;96;25;7;1;1;40;60;19;5;2;2;2;1
;Algemeen tandarts;255.0;150;105;58;61;22;7;1;1;35;43;15;5;2;2;2;1
;Parodontologie;27.0;13;14;3;9;1;0;0;0;4;8;2;0;0;0;0;0
;Orthodontie;53.0;41;12;13;26;2;0;0;0;1;9;2;0;0;0;0;0
Vlaams Gewest;Alle specialiteiten;171.0;110;61;50;44;10;5;0;1;21;21;13;1;1;1;2;1
;Algemeen tandarts;121.0;71;50;38;19;8;5;0;1;20;14;10;1;1;1;2;1
;Parodontologie;20.0;12;8;3;8;1;0;0;0;1;5;2;0;0;0;0;0
;Orthodontie;30.0;27;3;9;17;1;0;0;0;0;2;1;0;0;0;0;0
Waals Gewest;Alle specialiteiten;78.0;43;35;16;21;5;1;0;0;14;17;3;1;0;0;0;0
;Algemeen tandarts;62.0;35;27;12;17;5;1;0;0;10;13;3;1;0;0;0;0
;Parodontologie;5.0;1;4;0;1;0;0;0;0;3;1;0;0;0;0;0;0
;Orthodontie;11.0;7;4;4;3;0;0;0;0;1;3;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Alle specialiteiten;86.0;51;35;8;31;10;1;1;0;5;22;3;3;1;1;0;0
;Algemeen tandarts;72.0;44;28;8;25;9;1;1;0;5;16;2;3;1;1;0;0
;Parodontologie;2.0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;Orthodontie;12.0;7;5;0;6;1;0;0;0;0;4;1;0;0;0;0;0
Vlaams Brabant;Alle specialiteiten;53.0;34;19;15;15;1;3;0;0;4;10;5;0;0;0;0;0
;Algemeen tandarts;30.0;18;12;10;4;1;3;0;0;3;7;2;0;0;0;0;0
;Parodontologie;11.0;5;6;1;4;0;0;0;0;1;3;2;0;0;0;0;0
;Orthodontie;12.0;11;1;4;7;0;0;0;0;0;0;1;0;0;0;0;0
West-Vlaanderen;Alle specialiteiten;21.0;14;7;6;7;1;0;0;0;5;2;0;0;0;0;0;0
;Algemeen tandarts;14.0;9;5;5;3;1;0;0;0;5;0;0;0;0;0;0;0
;Parodontologie;3.0;2;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0
;Orthodontie;4.0;3;1;1;2;0;0;0;0;0;1;0;0;0;0;0;0
Oost-Vlaanderen;Alle specialiteiten;52.0;35;17;14;13;7;1;0;0;7;4;3;1;1;1;0;0
;Algemeen tandarts;38.0;22;16;10;6;5;1;0;0;7;3;3;1;1;1;0;0
;Parodontologie;5.0;4;1;1;2;1;0;0;0;0;1;0;0;0;0;0;0
;Orthodontie;9.0;9;0;3;5;1;0;0;0;0;0;0;0;0;0;0;0
Antwerpen;Alle specialiteiten;29.0;17;12;7;7;1;1;0;1;1;4;5;0;0;0;1;1
;Algemeen tandarts;24.0;13;11;6;4;1;1;0;1;1;3;5;0;0;0;1;1
;Orthodontie;5.0;4;1;1;3;0;0;0;0;0;1;0;0;0;0;0;0
Limburg;Alle specialiteiten;16.0;10;6;8;2;0;0;0;0;4;1;0;0;0;0;1;0
;Algemeen tandarts;15.0;9;6;7;2;0;0;0;0;4;1;0;0;0;0;1;0
;Parodontologie;1.0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Waals Brabant;Alle specialiteiten;9.0;7;2;4;3;0;0;0;0;1;1;0;0;0;0;0;0
;Algemeen tandarts;7.0;5;2;3;2;0;0;0;0;1;1;0;0;0;0;0;0
;Parodontologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;Orthodontie;1.0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Henegouwen;Alle specialiteiten;20.0;14;6;4;6;3;1;0;0;3;3;0;0;0;0;0;0
;Algemeen tandarts;20.0;14;6;4;6;3;1;0;0;3;3;0;0;0;0;0;0
Luik;Alle specialiteiten;33.0;14;19;4;9;1;0;0;0;8;8;2;1;0;0;0;0
;Algemeen tandarts;22.0;11;11;3;7;1;0;0;0;4;4;2;1;0;0;0;0
;Parodontologie;4.0;0;4;0;0;0;0;0;0;3;1;0;0;0;0;0;0
;Orthodontie;7.0;3;4;1;2;0;0;0;0;1;3;0;0;0;0;0;0
Namen;Alle specialiteiten;11.0;5;6;3;2;0;0;0;0;2;3;1;0;0;0;0;0
;Algemeen tandarts;8.0;2;6;1;1;0;0;0;0;2;3;1;0;0;0;0;0
;Orthodontie;3.0;3;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0
Luxemburg;Alle specialiteiten;5.0;3;2;1;1;1;0;0;0;0;2;0;0;0;0;0;0
;Algemeen tandarts;5.0;3;2;1;1;1;0;0;0;0;2;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Alle specialiteiten;86.0;51;35;8;31;10;1;1;0;5;22;3;3;1;1;0;0
;Algemeen tandarts;72.0;44;28;8;25;9;1;1;0;5;16;2;3;1;1;0;0
;Parodontologie;2.0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;Orthodontie;12.0;7;5;0;6;1;0;0;0;0;4;1;0;0;0;0;0
