territoire;spécialité;total;total_femmes;total_hommes;femmes_moins20;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_moins20;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;TOUS LES INFIRMIERS (NOMBRE DE PERSONNES);186291;161685;24606;0;6775;13652;13629;16707;17499;17751;21009;19994;13498;21171;0;986;2605;2484;2905;2997;2709;3111;3216;1817;1776
Région Flandre;TOUS LES INFIRMIERS (NOMBRE DE PERSONNES);121332;104674;16658;0;4736;8595;8501;10594;11144;11708;14116;13123;8692;13465;0;708;1533;1428;1712;1776;1868;2326;2386;1445;1476
Région Wallonie;TOUS LES INFIRMIERS (NOMBRE DE PERSONNES);55315;48722;6593;0;1671;4024;4277;5290;5563;5315;6041;5952;4201;6388;0;224;817;801;984;1071;707;670;728;325;266
Région Région de Bruxelles-capitale;TOUS LES INFIRMIERS (NOMBRE DE PERSONNES);9644;8289;1355;0;368;1033;851;823;792;728;852;919;605;1318;0;54;255;255;209;150;134;115;102;47;34
Prov Brabant flamand;TOUS LES INFIRMIERS (NOMBRE DE PERSONNES);19935;17011;2924;0;642;1240;1190;1581;1756;1924;2509;2477;1547;2145;0;105;252;227;259;272;307;439;479;307;277
Prov Flandre occidentale;TOUS LES INFIRMIERS (NOMBRE DE PERSONNES);26474;23026;3448;0;1155;2111;2050;2376;2403;2351;2892;2744;2031;2913;0;174;342;283;393;363;362;445;483;305;298
Prov Flandre orientale;TOUS LES INFIRMIERS (NOMBRE DE PERSONNES);28583;24686;3897;0;1129;1908;1932;2457;2752;2900;3297;3020;1989;3302;0;162;358;332;417;425;451;540;572;351;289
Prov Anvers;TOUS LES INFIRMIERS (NOMBRE DE PERSONNES);28756;24853;3903;0;1097;2007;1874;2423;2517;2832;3564;3266;1968;3305;0;142;340;321;377;439;453;567;612;316;336
Prov Limbourg;TOUS LES INFIRMIERS (NOMBRE DE PERSONNES);17584;15098;2486;0;713;1329;1455;1757;1716;1701;1854;1616;1157;1800;0;125;241;265;266;277;295;335;240;166;276
Prov Brabant wallon;TOUS LES INFIRMIERS (NOMBRE DE PERSONNES);5575;5060;515;0;167;339;318;443;525;553;688;747;492;788;0;13;65;71;72;71;74;60;52;20;17
Prov Hainaut;TOUS LES INFIRMIERS (NOMBRE DE PERSONNES);20171;17685;2486;0;575;1425;1487;1927;2140;2005;2338;2125;1519;2144;0;87;309;281;378;385;272;260;303;125;86
Prov Liège;TOUS LES INFIRMIERS (NOMBRE DE PERSONNES);17198;15025;2173;0;518;1382;1518;1737;1768;1574;1639;1697;1233;1959;0;66;243;278;334;364;230;197;232;116;113
Prov Namur;TOUS LES INFIRMIERS (NOMBRE DE PERSONNES);8404;7423;981;0;292;593;645;766;747;793;904;935;660;1088;0;43;149;128;140;167;97;96;88;41;32
Prov Luxembourg;TOUS LES INFIRMIERS (NOMBRE DE PERSONNES);3967;3529;438;0;119;285;309;417;383;390;472;448;297;409;0;15;51;43;60;84;34;57;53;23;18
Prov Région de Bruxelles-capitale;TOUS LES INFIRMIERS (NOMBRE DE PERSONNES);9644;8289;1355;0;368;1033;851;823;792;728;852;919;605;1318;0;54;255;255;209;150;134;115;102;47;34
Belgique;SANS AGREMENT;155613;137011;18602;0;5826;10740;10425;12987;13923;14311;17788;17436;12554;21021;0;840;1998;1733;2025;2125;1908;2285;2490;1490;1708
Belgique;TITRE PROFESSIONNEL PARTICULIER - SOINS INTENSIFS ET D'URGENCE;10713;7465;3248;0;468;1266;1143;1195;1068;921;648;495;198;63;0;125;441;453;507;430;413;377;302;150;50
Belgique;TITRE PROFESSIONNEL PARTICULIER - GERIATRIE;2156;1772;384;0;47;123;187;273;272;283;283;217;75;12;0;1;16;27;45;57;72;79;61;23;3
Belgique;TITRE PROFESSIONNEL PARTICULIER - ONCOLOGIE;2901;2561;340;0;91;271;315;402;381;398;325;268;94;16;0;7;18;38;43;62;38;61;47;22;4
Belgique;TITRE PROFESSIONNEL PARTICULIER - PEDIATRIE ET NEONATOLOGIE;4525;4368;157;0;267;748;695;684;590;506;447;301;122;8;0;4;22;34;21;18;16;24;14;4;0
