territoire;spécialité;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;TOUTES SPECIALITES;26459;10134;16325;0;29;1120;1850;1834;1495;1201;929;756;920;0;10;701;1424;1588;1717;2170;2174;2037;4504
Région Flandre;TOUTES SPECIALITES;14047;5242;8805;0;16;630;1040;1052;840;617;413;332;302;0;4;402;840;901;959;1238;1201;1070;2190
Région Wallonie;TOUTES SPECIALITES;8774;3288;5486;0;6;308;543;574;474;412;324;284;363;0;5;195;377;529;576;716;731;743;1614
Région Région de Bruxelles-capitale;TOUTES SPECIALITES;3638;1604;2034;0;7;182;267;208;181;172;192;140;255;0;1;104;207;158;182;216;242;224;700
Prov Brabant flamand;TOUTES SPECIALITES;3748;1576;2172;0;7;187;316;305;240;192;129;105;95;0;2;96;194;230;267;329;282;264;508
Prov Flandre occidentale;TOUTES SPECIALITES;2308;682;1626;0;1;86;131;137;112;72;48;50;45;0;0;79;134;143;151;207;208;202;502
Prov Flandre orientale;TOUTES SPECIALITES;3029;1180;1849;0;4;154;238;228;177;146;86;77;70;0;0;83;181;201;196;261;244;211;472
Prov Anvers;TOUTES SPECIALITES;3521;1313;2208;0;4;145;254;272;223;150;121;79;65;0;2;105;215;223;251;303;321;269;519
Prov Limbourg;TOUTES SPECIALITES;1441;491;950;0;0;58;101;110;88;57;29;21;27;0;0;39;116;104;94;138;146;124;189
Prov Brabant wallon;TOUTES SPECIALITES;1804;709;1095;0;0;46;109;114;114;104;89;45;88;0;0;29;77;111;127;156;154;141;300
Prov Hainaut;TOUTES SPECIALITES;2370;822;1548;0;4;66;134;146;98;95;77;95;107;0;1;43;80;136;157;202;200;220;509
Prov Liège;TOUTES SPECIALITES;2868;1138;1730;0;2;134;181;200;171;133;98;101;118;0;2;77;134;165;178;204;237;236;497
Prov Namur;TOUTES SPECIALITES;1267;457;810;0;0;50;82;86;65;60;42;34;38;0;2;42;63;92;78;108;98;104;223
Prov Luxembourg;TOUTES SPECIALITES;465;162;303;0;0;12;37;28;26;20;18;9;12;0;0;4;23;25;36;46;42;42;85
Prov Région de Bruxelles-capitale;TOUTES SPECIALITES;3638;1604;2034;0;7;182;267;208;181;172;192;140;255;0;1;104;207;158;182;216;242;224;700
Belgique;MEDECINE DU TRAVAIL;1135;606;529;0;0;15;90;134;90;114;78;61;24;0;0;5;32;33;31;87;97;120;124
Belgique;ANESTHESIE-REANIMATION;2330;911;1419;0;0;108;164;174;137;78;75;63;112;0;0;105;189;204;192;207;178;125;219
Belgique;CHIRURGIE;1712;288;1424;0;0;41;67;58;37;25;29;17;14;0;0;63;128;137;153;164;177;163;439
Belgique;NEUROCHIRURGIE;213;20;193;0;0;2;3;6;5;3;0;0;1;0;0;11;34;30;19;21;24;20;34
Belgique;CHIRURGIE PLASTIQUE, RECONSTRUCTRICE ET ESTHETIQUE;253;57;196;0;0;8;11;8;7;8;11;1;3;0;0;16;24;23;30;35;17;18;33
Belgique;NEUROLOGIE;525;237;288;0;0;48;47;40;44;24;17;12;5;0;0;14;44;38;43;47;47;29;26
Belgique;PSYCHIATRIE;998;439;559;0;0;4;22;86;112;86;43;37;49;0;0;0;18;59;81;83;71;64;183
Belgique;GYNECOLOGIE-OBSTETRIQUE;1565;721;844;0;0;88;150;137;110;88;67;35;46;0;0;23;50;57;75;92;119;108;320
Belgique;OPHTALMOLOGIE;1199;696;503;0;13;71;95;94;83;85;74;70;111;0;3;23;35;46;50;55;50;61;180
Belgique;OTO-RHINO-LARYNGOLOGIE;715;274;441;0;1;32;53;42;56;29;25;18;18;0;0;21;29;32;38;62;62;57;140
Belgique;UROLOGIE;443;49;394;0;0;10;17;4;11;5;2;0;0;0;0;16;47;56;38;51;47;45;94
Belgique;CHIRURGIE ORTHOPEDIQUE;1127;98;1029;0;0;16;23;15;18;11;6;3;6;0;0;48;110;123;123;164;137;107;217
Belgique;STOMATOLOGIE;348;80;268;0;0;5;19;18;8;5;10;3;12;0;1;15;27;25;26;33;29;26;86
Belgique;DERMATO-VENEREOLOGIE;808;552;256;0;8;58;88;82;87;64;44;55;66;0;4;6;12;16;19;34;35;16;114
Belgique;PNEUMOLOGIE;546;207;339;0;0;26;65;44;26;14;13;8;11;0;0;12;35;32;40;61;63;48;48
Belgique;GASTRO-ENTEROLOGIE;685;191;494;0;0;35;43;38;22;22;9;12;10;0;0;22;53;59;63;71;64;73;89
Belgique;PEDIATRIE;1789;1091;698;0;2;139;207;192;148;113;78;93;119;0;0;23;41;47;58;55;80;75;319
Belgique;CARDIOLOGIE;1144;227;917;0;0;29;47;46;36;27;21;8;13;0;0;41;114;99;127;132;111;107;186
Belgique;NEUROPSYCHIATRIE;289;68;221;0;0;0;0;0;0;6;13;4;45;0;0;0;0;0;0;6;17;30;168
Belgique;MEDECINE PHYSIQUE ET READAPTATION;553;239;314;0;0;22;47;36;40;41;19;15;19;0;1;19;20;22;30;37;48;45;92
Belgique;BIOLOGIE CLINIQUE;747;332;415;0;0;16;33;38;36;37;48;40;84;0;1;14;19;13;29;45;54;76;164
Belgique;RADIODIAGNOSTIC;1743;469;1274;0;0;52;71;80;84;72;44;38;28;0;0;66;113;99;152;216;184;159;285
Belgique;RADIOTHERAPIE-ONCOLOGIE;229;124;105;0;0;13;23;25;17;22;9;9;6;0;0;10;18;13;8;16;16;5;19
Belgique;PSYCHIATRIE, PARTICULIEREMENT PSYCHIATRIE INFANTO-JUVENILE;283;216;67;0;1;48;69;44;11;11;10;12;10;0;0;6;13;10;4;9;9;9;7
Belgique;MEDECINE NUCLEAIRE;344;111;233;0;0;13;16;13;20;25;6;10;8;0;0;5;11;20;18;29;17;37;96
Belgique;ANATOMIE PATHOLOGIQUE;376;187;189;0;0;15;29;35;29;26;20;11;22;0;0;7;18;21;9;20;30;20;64
Belgique;MEDECINE INTERNE;1807;583;1224;0;2;86;137;119;75;50;48;28;38;0;0;52;70;125;117;141;131;114;474
Belgique;RHUMATOLOGIE;253;104;149;0;0;6;15;19;23;12;6;8;15;0;0;2;8;9;10;22;19;25;54
Belgique;PSYCHIATRIE, PARTICULIEREMENT PSYCHIATRIE DE L'ADULTE;694;303;391;0;0;58;90;63;7;15;27;29;14;0;0;27;61;35;10;22;59;63;114
Belgique;MEDECINE LEGALE;12;2;10;0;0;0;1;1;0;0;0;0;0;0;0;1;4;0;0;1;1;0;3
Belgique;MEDECINE D'URGENCE;57;28;29;0;0;11;6;5;4;2;0;0;0;0;0;6;6;6;6;2;3;0;0
Belgique;MEDECINE AIGUE;317;128;189;0;2;10;24;42;23;13;9;4;1;0;0;8;24;47;43;31;18;12;6
Belgique;GERIATRIE;278;156;122;0;0;18;43;38;25;13;12;6;1;0;0;8;8;11;10;15;28;24;18
Belgique;MEDECINE D'ASSURANCE ET EXPERTISE MEDICALE;650;199;451;0;0;1;5;32;36;34;46;37;8;0;0;0;1;15;33;78;109;142;73
Belgique;ONCOLOGIE MEDICALE;233;119;114;0;0;16;29;25;22;13;4;9;1;0;0;6;7;21;27;14;13;12;14
Belgique;GESTION DE DONNEES DE SANTE;59;22;37;0;0;0;1;1;6;8;6;0;0;0;0;0;1;5;5;12;10;2;2
Région Flandre;MEDECINE DU TRAVAIL;734;371;363;0;0;12;55;92;58;73;37;35;9;0;0;4;24;22;21;70;65;80;77
Région Flandre;ANESTHESIE-REANIMATION;1302;497;805;0;0;61;101;99;86;46;39;27;38;0;0;60;106;117;112;122;103;68;117
Région Flandre;CHIRURGIE;904;156;748;0;0;26;41;36;14;12;11;8;8;0;0;39;75;83;89;88;98;81;195
Région Flandre;NEUROCHIRURGIE;132;12;120;0;0;1;2;3;5;0;0;0;1;0;0;5;27;17;12;14;13;12;20
Région Flandre;CHIRURGIE PLASTIQUE, RECONSTRUCTRICE ET ESTHETIQUE;149;30;119;0;0;3;3;6;3;5;7;1;2;0;0;8;11;13;18;20;14;12;23
Région Flandre;NEUROLOGIE;278;120;158;0;0;37;21;14;27;7;8;4;2;0;0;8;24;25;18;23;26;21;13
Région Flandre;PSYCHIATRIE;277;146;131;0;0;0;3;40;60;35;3;3;2;0;0;0;4;29;43;32;10;4;9
Région Flandre;GYNECOLOGIE-OBSTETRIQUE;754;333;421;0;0;41;81;76;58;36;20;7;14;0;0;13;23;25;39;57;53;55;156
Région Flandre;OPHTALMOLOGIE;689;410;279;0;6;39;56;67;57;54;41;48;42;0;1;12;18;19;28;35;27;41;98
Région Flandre;OTO-RHINO-LARYNGOLOGIE;364;133;231;0;0;16;31;17;31;13;12;7;6;0;0;12;18;20;20;29;40;24;68
Région Flandre;UROLOGIE;255;25;230;0;0;6;6;4;6;2;1;0;0;0;0;6;30;33;23;34;30;32;42
Région Flandre;CHIRURGIE ORTHOPEDIQUE;660;55;605;0;0;8;12;11;13;5;2;2;2;0;0;29;76;72;70;106;86;56;110
Région Flandre;STOMATOLOGIE;196;39;157;0;0;4;8;14;2;2;5;0;4;0;0;13;22;16;17;24;16;12;37
Région Flandre;DERMATO-VENEREOLOGIE;437;301;136;0;6;32;50;53;46;36;21;30;27;0;2;3;7;11;13;16;22;3;59
