Territoire;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;375;315;60;88;81;50;35;24;14;16;4;3;0;8;7;7;8;8;7;7;3;4;1
Région Flandre;301;274;27;84;73;46;29;17;10;9;4;2;0;3;6;4;2;2;4;3;2;1;0
Région Wallonie;54;27;27;3;4;3;4;5;2;5;0;1;0;4;1;2;3;5;3;4;1;3;1
Région Région de Bruxelles-capitale;20;14;6;1;4;1;2;2;2;2;0;0;0;1;0;1;3;1;0;0;0;0;0
Prov Brabant flamand;50;43;7;9;13;9;4;3;4;1;0;0;0;0;1;1;1;0;2;1;0;1;0
Prov Flandre occidentale;77;70;7;29;18;12;6;1;2;2;0;0;0;2;1;1;1;0;1;0;1;0;0
Prov Flandre orientale;74;67;7;22;23;9;6;3;2;2;0;0;0;0;3;2;0;0;0;1;1;0;0
Prov Anvers;67;63;4;18;11;12;10;4;1;4;3;0;0;1;1;0;0;2;0;0;0;0;0
Prov Limbourg;33;31;2;6;8;4;3;6;1;0;1;2;0;0;0;0;0;0;1;1;0;0;0
Prov Brabant wallon;16;6;10;1;0;1;1;0;1;1;0;1;0;1;0;0;0;2;0;4;1;1;1
Prov Hainaut;19;12;7;1;3;1;2;3;0;2;0;0;0;2;0;0;1;1;1;0;0;2;0
Prov Liège;9;5;4;0;1;0;1;2;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0
Prov Namur;9;4;5;1;0;1;0;0;0;2;0;0;0;0;1;0;1;1;2;0;0;0;0
Prov Luxembourg;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Prov Région de Bruxelles-capitale;20;14;6;1;4;1;2;2;2;2;0;0;0;1;0;1;3;1;0;0;0;0;0
