territoire;spécialité;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64
Belgique;Toutes les spécialités;6595;3778;2817;343;2586;723;72;29;13;7;5;233;1889;598;57;19;13;5;1;2
Belgique;Gériatrie;139;105;34;5;55;42;2;1;0;0;0;1;19;13;1;0;0;0;0;0
Belgique;Médecine d'urgence;559;315;244;29;195;73;11;5;1;1;0;8;137;84;5;4;5;0;0;1
Belgique;Médecine légale;11;7;4;1;4;2;0;0;0;0;0;0;3;1;0;0;0;0;0;0
Belgique;Gestion des données de santé;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Belgique;Anesthésie-réanimation;655;296;359;18;202;62;9;4;1;0;0;24;258;67;8;1;1;0;0;0
Belgique;Chirurgie;400;205;195;15;133;55;2;0;0;0;0;16;133;44;1;0;1;0;0;0
Belgique;Neurochirurgie;69;22;47;3;15;4;0;0;0;0;0;3;35;9;0;0;0;0;0;0
Belgique;Chirurgie plastique, reconstructive et esthétique;65;34;31;3;23;8;0;0;0;0;0;0;14;16;1;0;0;0;0;0
Belgique;Urologie;162;75;87;5;51;16;3;0;0;0;0;9;50;26;1;1;0;0;0;0
Belgique;Orthopédie;316;83;233;4;49;29;1;0;0;0;0;17;152;60;4;0;0;0;0;0
Belgique;Neurologie;188;121;67;16;80;21;3;1;0;0;0;12;44;11;0;0;0;0;0;0
Belgique;Psychiatrie, particulièrement en psychiatrie infanto-juvénile;145;121;24;8;88;21;2;2;0;0;0;3;17;4;0;0;0;0;0;0
Belgique;Psychiatrie, particulièrement en psychiatrie adulte;322;184;138;14;132;29;6;2;0;1;0;12;92;33;0;1;0;0;0;0
Belgique;Pneumologie;85;50;35;0;34;15;1;0;0;0;0;0;19;16;0;0;0;0;0;0
Belgique;Gastro-entérologie;136;86;50;1;51;31;1;1;1;0;0;0;33;16;1;0;0;0;0;0
Belgique;Cardiologie;145;60;85;2;30;28;0;0;0;0;0;1;50;30;4;0;0;0;0;0
Belgique;Médecine interne;889;497;392;80;370;45;1;1;0;0;0;61;293;33;3;1;1;0;0;0
Belgique;Rhumatologie;44;28;16;2;12;13;1;0;0;0;0;0;12;4;0;0;0;0;0;0
Belgique;Médecine aiguë;8;4;4;0;3;1;0;0;0;0;0;0;1;2;1;0;0;0;0;0
Belgique;Gynécologie-obstétrique;352;306;46;26;235;41;3;1;0;0;0;5;33;7;0;1;0;0;0;0
Belgique;Ophtalmologie;177;91;86;13;70;6;2;0;0;0;0;9;70;3;4;0;0;0;0;0
Belgique;Oto-rhino-laryngologie;140;91;49;11;73;7;0;0;0;0;0;9;34;6;0;0;0;0;0;0
Belgique;Stomatologie;78;28;50;2;22;4;0;0;0;0;0;4;38;8;0;0;0;0;0;0
Belgique;Dermato-vénéréologie;141;115;26;9;95;11;0;0;0;0;0;3;19;4;0;0;0;0;0;0
Belgique;Pédiatrie;487;406;81;44;306;54;2;0;0;0;0;6;62;13;0;0;0;0;0;0
Belgique;Médecine physique et réadaptation;125;63;62;3;55;4;0;1;0;0;0;6;45;11;0;0;0;0;0;0
Belgique;Biologie clinique;75;33;42;3;17;9;4;0;0;0;0;1;30;7;3;0;1;0;0;0
Belgique;Radiodiagnostic;287;112;175;15;70;22;2;3;0;0;0;17;120;30;5;3;0;0;0;0
Belgique;Radiothérapie-oncologie;58;27;31;2;20;5;0;0;0;0;0;2;19;7;2;0;1;0;0;0
Belgique;Médecine nucléaire;38;15;23;2;12;1;0;0;0;0;0;3;12;7;0;1;0;0;0;0
Belgique;Anatomie pathologique;74;49;25;1;36;11;0;1;0;0;0;1;16;6;1;1;0;0;0;0
Belgique;Oncologie médicale;68;46;22;2;23;20;1;0;0;0;0;0;13;9;0;0;0;0;0;0
Belgique;Génétique clinique;30;22;8;4;9;8;1;0;0;0;0;0;5;1;2;0;0;0;0;0
Belgique;Médecine du travail;126;80;46;0;16;25;14;6;9;5;5;0;11;10;10;5;3;5;1;1
Région flamande;Toutes les spécialités;3398;1950;1448;199;1366;323;33;17;4;5;3;148;983;272;24;12;5;3;1;0
Région flamande;Gériatrie;54;38;16;0;22;15;1;0;0;0;0;0;8;8;0;0;0;0;0;0
Région flamande;Médecine d'urgence;243;138;105;21;79;32;5;1;0;0;0;6;63;31;2;2;1;0;0;0
Région flamande;Médecine légale;6;5;1;1;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Région flamande;Anesthésie-réanimation;328;145;183;9;107;22;3;3;1;0;0;12;141;27;2;1;0;0;0;0
Région flamande;Chirurgie;203;106;97;7;71;26;2;0;0;0;0;10;71;15;0;0;1;0;0;0
Région flamande;Neurochirurgie;42;11;31;1;8;2;0;0;0;0;0;3;23;5;0;0;0;0;0;0
Région flamande;Chirurgie plastique, reconstructive et esthétique;36;18;18;1;11;6;0;0;0;0;0;0;8;9;1;0;0;0;0;0
Région flamande;Urologie;102;48;54;4;33;9;2;0;0;0;0;6;34;13;1;0;0;0;0;0
Région flamande;Orthopédie;166;44;122;3;28;12;1;0;0;0;0;11;82;27;2;0;0;0;0;0
Région flamande;Neurologie;103;71;32;10;44;13;3;1;0;0;0;8;22;2;0;0;0;0;0;0
Région flamande;Psychiatrie, particulièrement en psychiatrie infanto-juvénile;79;63;16;6;44;12;0;1;0;0;0;3;9;4;0;0;0;0;0;0
Région flamande;Psychiatrie, particulièrement en psychiatrie adulte;179;100;79;9;75;11;2;2;0;1;0;10;50;18;0;1;0;0;0;0
Région flamande;Pneumologie;39;21;18;0;16;4;1;0;0;0;0;0;10;8;0;0;0;0;0;0
Région flamande;Gastro-entérologie;67;42;25;0;28;13;0;1;0;0;0;0;15;9;1;0;0;0;0;0
Région flamande;Cardiologie;60;22;38;0;10;12;0;0;0;0;0;0;19;18;1;0;0;0;0;0
Région flamande;Médecine interne;501;300;201;49;229;21;0;1;0;0;0;36;147;14;2;1;1;0;0;0
Région flamande;Rhumatologie;20;11;9;0;5;5;1;0;0;0;0;0;8;1;0;0;0;0;0;0
Région flamande;Médecine aiguë;8;4;4;0;3;1;0;0;0;0;0;0;1;2;1;0;0;0;0;0
Région flamande;Gynécologie-obstétrique;187;161;26;14;125;20;1;1;0;0;0;5;17;3;0;1;0;0;0;0
Région flamande;Ophtalmologie;95;54;41;11;39;4;0;0;0;0;0;3;37;0;1;0;0;0;0;0
Région flamande;Oto-rhino-laryngologie;83;62;21;9;50;3;0;0;0;0;0;4;15;2;0;0;0;0;0;0
Région flamande;Stomatologie;48;18;30;1;15;2;0;0;0;0;0;3;23;4;0;0;0;0;0;0
Région flamande;Dermato-vénéréologie;75;64;11;4;55;5;0;0;0;0;0;2;7;2;0;0;0;0;0;0
Région flamande;Pédiatrie;223;189;34;25;144;18;2;0;0;0;0;2;30;2;0;0;0;0;0;0
Région flamande;Médecine physique et réadaptation;70;39;31;2;34;2;0;1;0;0;0;5;21;5;0;0;0;0;0;0
Région flamande;Biologie clinique;45;20;25;2;8;7;3;0;0;0;0;0;17;6;2;0;0;0;0;0
Région flamande;Radiodiagnostic;141;40;101;5;23;9;0;3;0;0;0;13;67;15;3;3;0;0;0;0
Région flamande;Radiothérapie-oncologie;33;13;20;0;9;4;0;0;0;0;0;2;13;3;1;0;1;0;0;0
Région flamande;Médecine nucléaire;19;8;11;2;5;1;0;0;0;0;0;3;4;3;0;1;0;0;0;0
Région flamande;Anatomie pathologique;43;28;15;0;21;6;0;1;0;0;0;1;8;4;1;1;0;0;0;0
Région flamande;Oncologie médicale;31;23;8;0;12;10;1;0;0;0;0;0;3;5;0;0;0;0;0;0
Région flamande;Génétique clinique;20;13;7;3;5;4;1;0;0;0;0;0;4;1;2;0;0;0;0;0
Région flamande;Médecine du travail;49;31;18;0;5;11;4;1;3;4;3;0;5;6;1;1;1;3;1;0
Région wallonne;Toutes les spécialités;1754;1035;719;103;701;197;20;5;6;2;1;57;486;155;12;2;5;1;0;1
Région wallonne;Gériatrie;56;43;13;5;22;16;0;0;0;0;0;1;8;4;0;0;0;0;0;0
Région wallonne;Médecine d'urgence;191;104;87;6;74;19;2;1;1;1;0;2;47;34;1;0;2;0;0;1
Région wallonne;Médecine légale;4;1;3;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0
Région wallonne;Gestion des données de santé;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Région wallonne;Anesthésie-réanimation;199;98;101;9;62;24;2;1;0;0;0;7;69;20;4;0;1;0;0;0
Région wallonne;Chirurgie;123;63;60;6;37;20;0;0;0;0;0;5;40;15;0;0;0;0;0;0
Région wallonne;Neurochirurgie;13;6;7;1;5;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0
Région wallonne;Chirurgie plastique, reconstructive et esthétique;16;12;4;2;9;1;0;0;0;0;0;0;1;3;0;0;0;0;0;0
Région wallonne;Urologie;27;15;12;1;7;6;1;0;0;0;0;1;5;6;0;0;0;0;0;0
Région wallonne;Orthopédie;88;28;60;1;17;10;0;0;0;0;0;4;39;16;1;0;0;0;0;0
Région wallonne;Neurologie;36;19;17;3;15;1;0;0;0;0;0;4;8;5;0;0;0;0;0;0
Région wallonne;Psychiatrie, particulièrement en psychiatrie infanto-juvénile;38;34;4;2;26;3;2;1;0;0;0;0;4;0;0;0;0;0;0;0
Région wallonne;Psychiatrie, particulièrement en psychiatrie adulte;50;37;13;4;24;6;3;0;0;0;0;1;10;2;0;0;0;0;0;0
Région wallonne;Pneumologie;30;19;11;0;13;6;0;0;0;0;0;0;7;4;0;0;0;0;0;0
Région wallonne;Gastro-entérologie;38;26;12;1;14;10;0;0;1;0;0;0;10;2;0;0;0;0;0;0
Région wallonne;Cardiologie;46;21;25;2;13;6;0;0;0;0;0;1;18;6;0;0;0;0;0;0
Région wallonne;Médecine interne;208;108;100;19;79;10;0;0;0;0;0;17;77;6;0;0;0;0;0;0
Région wallonne;Rhumatologie;14;10;4;2;5;3;0;0;0;0;0;0;1;3;0;0;0;0;0;0
Région wallonne;Gynécologie-obstétrique;91;79;12;9;64;5;1;0;0;0;0;0;11;1;0;0;0;0;0;0
Région wallonne;Ophtalmologie;33;19;14;2;16;0;1;0;0;0;0;2;11;1;0;0;0;0;0;0
Région wallonne;Oto-rhino-laryngologie;28;14;14;1;10;3;0;0;0;0;0;3;9;2;0;0;0;0;0;0
Région wallonne;Stomatologie;13;4;9;1;2;1;0;0;0;0;0;1;6;2;0;0;0;0;0;0
Région wallonne;Dermato-vénéréologie;29;22;7;3;16;3;0;0;0;0;0;0;7;0;0;0;0;0;0;0
Région wallonne;Pédiatrie;152;125;27;13;96;16;0;0;0;0;0;3;18;6;0;0;0;0;0;0
Région wallonne;Médecine physique et réadaptation;34;16;18;1;13;2;0;0;0;0;0;0;16;2;0;0;0;0;0;0
Région wallonne;Biologie clinique;15;6;9;0;4;2;0;0;0;0;0;1;6;1;0;0;1;0;0;0
Région wallonne;Radiodiagnostic;67;29;38;4;20;5;0;0;0;0;0;4;28;6;0;0;0;0;0;0
Région wallonne;Radiothérapie-oncologie;14;9;5;2;6;1;0;0;0;0;0;0;3;1;1;0;0;0;0;0
Région wallonne;Médecine nucléaire;7;4;3;0;4;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
Région wallonne;Anatomie pathologique;17;11;6;0;9;2;0;0;0;0;0;0;5;1;0;0;0;0;0;0
Région wallonne;Oncologie médicale;22;14;8;2;7;5;0;0;0;0;0;0;7;1;0;0;0;0;0;0
Région wallonne;Génétique clinique;5;5;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Région wallonne;Médecine du travail;49;33;16;0;9;9;8;2;3;1;1;0;3;4;5;2;1;1;0;0
Région de Bruxelles Capitale;Toutes les spécialités;1443;793;650;41;519;203;19;7;3;0;1;28;420;171;21;5;3;1;0;1
Région de Bruxelles Capitale;Gériatrie;29;24;5;0;11;11;1;1;0;0;0;0;3;1;1;0;0;0;0;0
Région de Bruxelles Capitale;Médecine d'urgence;125;73;52;2;42;22;4;3;0;0;0;0;27;19;2;2;2;0;0;0
Région de Bruxelles Capitale;Médecine légale;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Anesthésie-réanimation;128;53;75;0;33;16;4;0;0;0;0;5;48;20;2;0;0;0;0;0
Région de Bruxelles Capitale;Chirurgie;74;36;38;2;25;9;0;0;0;0;0;1;22;14;1;0;0;0;0;0
Région de Bruxelles Capitale;Neurochirurgie;14;5;9;1;2;2;0;0;0;0;0;0;5;4;0;0;0;0;0;0
Région de Bruxelles Capitale;Chirurgie plastique, reconstructive et esthétique;13;4;9;0;3;1;0;0;0;0;0;0;5;4;0;0;0;0;0;0
Région de Bruxelles Capitale;Urologie;33;12;21;0;11;1;0;0;0;0;0;2;11;7;0;1;0;0;0;0
Région de Bruxelles Capitale;Orthopédie;62;11;51;0;4;7;0;0;0;0;0;2;31;17;1;0;0;0;0;0
Région de Bruxelles Capitale;Neurologie;49;31;18;3;21;7;0;0;0;0;0;0;14;4;0;0;0;0;0;0
Région de Bruxelles Capitale;Psychiatrie, particulièrement en psychiatrie infanto-juvénile;28;24;4;0;18;6;0;0;0;0;0;0;4;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Psychiatrie, particulièrement en psychiatrie adulte;93;47;46;1;33;12;1;0;0;0;0;1;32;13;0;0;0;0;0;0
Région de Bruxelles Capitale;Pneumologie;16;10;6;0;5;5;0;0;0;0;0;0;2;4;0;0;0;0;0;0
Région de Bruxelles Capitale;Gastro-entérologie;31;18;13;0;9;8;1;0;0;0;0;0;8;5;0;0;0;0;0;0
Région de Bruxelles Capitale;Cardiologie;39;17;22;0;7;10;0;0;0;0;0;0;13;6;3;0;0;0;0;0
Région de Bruxelles Capitale;Médecine interne;180;89;91;12;62;14;1;0;0;0;0;8;69;13;1;0;0;0;0;0
Région de Bruxelles Capitale;Rhumatologie;10;7;3;0;2;5;0;0;0;0;0;0;3;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Gynécologie-obstétrique;74;66;8;3;46;16;1;0;0;0;0;0;5;3;0;0;0;0;0;0
Région de Bruxelles Capitale;Ophtalmologie;49;18;31;0;15;2;1;0;0;0;0;4;22;2;3;0;0;0;0;0
Région de Bruxelles Capitale;Oto-rhino-laryngologie;29;15;14;1;13;1;0;0;0;0;0;2;10;2;0;0;0;0;0;0
Région de Bruxelles Capitale;Stomatologie;17;6;11;0;5;1;0;0;0;0;0;0;9;2;0;0;0;0;0;0
Région de Bruxelles Capitale;Dermato-vénéréologie;37;29;8;2;24;3;0;0;0;0;0;1;5;2;0;0;0;0;0;0
Région de Bruxelles Capitale;Pédiatrie;112;92;20;6;66;20;0;0;0;0;0;1;14;5;0;0;0;0;0;0
Région de Bruxelles Capitale;Médecine physique et réadaptation;21;8;13;0;8;0;0;0;0;0;0;1;8;4;0;0;0;0;0;0
Région de Bruxelles Capitale;Biologie clinique;15;7;8;1;5;0;1;0;0;0;0;0;7;0;1;0;0;0;0;0
