gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64
België;Alle specialiteiten;6222;3528;2694;331;2477;622;55;20;17;5;1;227;1853;536;47;14;12;3;1;1
België;Geriatrie;121;95;26;8;51;33;2;0;1;0;0;1;13;12;0;0;0;0;0;0
België;Urgentiegeneeskunde;501;266;235;20;168;65;9;2;1;1;0;9;141;60;14;3;6;2;0;0
België;Gerechtelijke geneeskunde;13;8;5;0;8;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
België;Anesthesie-reanimatie;678;285;393;29;207;40;7;2;0;0;0;36;264;82;8;1;2;0;0;0
België;Heelkunde;386;188;198;17;131;38;1;0;1;0;0;19;137;38;3;1;0;0;0;0
België;Neurochirurgie;73;25;48;1;18;6;0;0;0;0;0;6;28;14;0;0;0;0;0;0
België;Plastische, reconstructieve en esthetische heelkunde;57;28;29;2;17;9;0;0;0;0;0;2;17;9;1;0;0;0;0;0
België;Urologie;146;66;80;6;43;15;2;0;0;0;0;5;54;21;0;0;0;0;0;0
België;Orthopedische heelkunde;290;86;204;8;52;26;0;0;0;0;0;12;143;43;4;1;1;0;0;0
België;Neurologie;180;118;62;14;81;22;1;0;0;0;0;10;42;10;0;0;0;0;0;0
België;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;149;126;23;11;85;28;1;1;0;0;0;3;15;5;0;0;0;0;0;0
België;Psychiatrie, meer bepaald volwassenpsychiatrie;287;169;118;17;106;35;6;2;1;2;0;6;94;16;1;0;1;0;0;0
België;Pneumologie;77;43;34;0;22;21;0;0;0;0;0;2;19;13;0;0;0;0;0;0
België;Gastro-enterologie;98;58;40;2;30;24;1;1;0;0;0;0;20;20;0;0;0;0;0;0
België;Cardiologie;129;52;77;0;26;26;0;0;0;0;0;2;36;38;1;0;0;0;0;0
België;Inwendige geneeskunde;872;477;395;64;377;31;2;3;0;0;0;55;292;42;4;2;0;0;0;0
België;Reumatologie;31;23;8;0;11;11;1;0;0;0;0;1;4;3;0;0;0;0;0;0
België;Acute geneeskunde;29;11;18;3;6;1;1;0;0;0;0;0;15;2;1;0;0;0;0;0
België;Gynaecologie-verloskunde;353;310;43;30;240;36;3;1;0;0;0;6;34;3;0;0;0;0;0;0
België;Oftalmologie;166;98;68;10;75;10;2;1;0;0;0;10;50;5;2;0;1;0;0;0
België;Otorhinolaryngologie;139;90;49;4;72;13;0;0;1;0;0;5;37;7;0;0;0;0;0;0
België;Stomatologie;76;27;49;5;22;0;0;0;0;0;0;4;33;12;0;0;0;0;0;0
België;Dermato-venereologie;112;93;19;12;77;4;0;0;0;0;0;2;16;1;0;0;0;0;0;0
België;Pediatrie;477;401;76;43;302;53;3;0;0;0;0;9;56;11;0;0;0;0;0;0
België;Fysische geneeskunde en revalidatie;121;63;58;9;45;6;1;1;1;0;0;2;46;10;0;0;0;0;0;0
België;Klinische biologie;73;32;41;3;21;6;1;1;0;0;0;2;29;8;1;1;0;0;0;0
België;Rontgendiagnose;278;100;178;7;75;15;1;1;1;0;0;10;149;17;2;0;0;0;0;0
België;Radiotherapie - oncologie;52;25;27;0;20;5;0;0;0;0;0;2;17;7;0;1;0;0;0;0
België;Nucleaire geneeskunde;41;17;24;1;11;5;0;0;0;0;0;1;15;7;0;1;0;0;0;0
België;Pathologische anatomie;69;45;24;3;37;5;0;0;0;0;0;2;18;2;1;1;0;0;0;0
België;Medische oncologie;65;42;23;1;21;20;0;0;0;0;0;1;10;11;1;0;0;0;0;0
België;Klinische genetica;12;8;4;1;6;0;1;0;0;0;0;2;1;1;0;0;0;0;0;0
België;Arbeidsgeneeskunde;71;53;18;0;14;13;9;4;10;2;1;0;3;6;3;2;1;1;1;1
Vlaams Gewest;Alle specialiteiten;3217;1827;1390;202;1276;306;23;9;9;2;0;135;971;251;23;6;4;0;0;0
Vlaams Gewest;Geriatrie;46;36;10;1;19;16;0;0;0;0;0;0;3;7;0;0;0;0;0;0
Vlaams Gewest;Urgentiegeneeskunde;212;114;98;10;73;29;1;1;0;0;0;7;59;24;6;1;1;0;0;0
Vlaams Gewest;Gerechtelijke geneeskunde;8;6;2;0;6;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Vlaams Gewest;Anesthesie-reanimatie;349;147;202;18;110;14;4;1;0;0;0;24;140;32;4;1;1;0;0;0
Vlaams Gewest;Heelkunde;199;93;106;11;60;20;1;0;1;0;0;12;76;17;0;1;0;0;0;0
Vlaams Gewest;Neurochirurgie;41;13;28;1;9;3;0;0;0;0;0;4;16;8;0;0;0;0;0;0
Vlaams Gewest;Plastische, reconstructieve en esthetische heelkunde;34;15;19;1;10;4;0;0;0;0;0;1;11;6;1;0;0;0;0;0
Vlaams Gewest;Urologie;94;43;51;5;30;7;1;0;0;0;0;5;36;10;0;0;0;0;0;0
