gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
België;Alle specialiteiten;31416;14085;17331;33;1731;2154;1770;1907;1824;1430;1124;2112;27;1233;1372;1185;1531;1591;1782;2115;6495
België;Geriatrie;432;287;145;0;48;61;44;40;41;24;13;16;0;13;9;15;9;13;9;20;57
België;Urgentiegeneeskunde;421;210;211;0;68;75;38;11;11;5;2;0;0;65;62;30;21;20;6;4;3
België;Gerechtelijke geneeskunde;14;5;9;0;1;2;0;2;0;0;0;0;0;0;1;2;2;0;0;1;3
België;Beheer van gezondheidsgegevens;57;22;35;0;0;0;0;1;2;7;8;4;0;0;0;1;1;4;7;11;11
België;Anesthesie-reanimatie;2963;1237;1726;3;144;218;152;160;171;119;69;201;0;219;193;152;193;207;188;188;386
België;Heelkunde;1841;436;1405;0;55;95;63;61;56;32;24;50;0;63;111;105;127;140;141;161;557
België;Neurochirurgie;265;37;228;0;4;13;2;3;7;6;2;0;0;16;31;23;32;29;19;20;58
België;Plastische, reconstructieve en esthetische heelkunde;313;89;224;0;15;16;12;10;7;8;9;12;0;17;21;28;19;27;27;31;54
België;Urologie;550;98;452;0;22;21;19;15;7;7;5;2;0;30;58;32;46;53;37;48;148
België;Orthopedische heelkunde;1351;168;1183;0;34;27;30;15;25;12;9;16;0;85;121;100;128;109;125;160;355
België;Neurologie;735;382;353;1;67;68;63;50;43;40;21;29;0;30;32;30;48;32;44;49;88
België;Psychiatrie;921;427;494;0;1;5;10;29;95;113;77;97;0;0;3;2;23;65;84;74;243
België;Neuropsychiatrie;176;38;138;0;0;0;0;0;0;0;5;33;0;0;0;0;0;0;0;6;132
België;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;437;348;89;0;39;76;67;71;43;11;12;29;0;11;10;14;13;7;5;9;20
België;Psychiatrie, meer bepaald volwassenpsychiatrie;944;480;464;0;64;94;95;97;43;9;19;59;0;49;37;43;70;29;11;37;188
België;Pneumologie;712;315;397;0;35;59;66;56;43;16;15;25;0;34;29;22;39;33;45;62;133
België;Gastro-enterologie;871;324;547;0;49;74;52;45;38;21;19;26;0;41;45;35;59;53;66;77;171
België;Cardiologie;1414;367;1047;0;40;69;63;54;42;39;28;32;0;73;101;89;120;104;124;113;323
België;Inwendige geneeskunde;2073;881;1192;0;119;165;134;152;112;70;44;85;0;93;61;74;91;109;131;126;507
België;Reumatologie;303;150;153;0;19;21;15;17;22;23;10;23;0;4;12;6;8;12;11;20;80
België;Acute geneeskunde;302;135;167;0;8;11;13;28;39;13;10;13;0;5;7;10;21;45;29;25;25
België;Gynaecologie-verloskunde;1888;1118;770;0;205;194;137;140;134;105;84;119;0;21;29;37;53;58;82;95;395
België;Oftalmologie;1400;869;531;22;96;106;89;95;89;80;75;217;21;44;39;33;32;46;56;54;206
België;Otorhinolaryngologie;807;387;420;2;61;56;47;49;47;52;27;46;0;18;24;25;35;30;42;57;189
België;Stomatologie;407;109;298;0;15;16;18;9;20;5;8;18;1;35;33;25;25;24;27;35;93
België;Dermato-venereologie;920;676;244;0;83;71;69;87;89;78;57;142;1;7;20;9;15;18;27;29;118
België;Pediatrie;2141;1497;644;1;213;230;181;211;172;150;101;238;0;31;49;39;37;56;48;59;325
België;Fysische geneeskunde en revalidatie;657;320;337;0;38;46;29;48;44;32;37;46;0;36;23;25;27;18;35;31;142
