gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_60-64;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64
België;Alle specialiteiten;5906;3322;2584;284;2359;575;64;20;15;4;1;214;1769;522;46;14;12;2;3;2
België;Geriatrie;114;89;25;7;55;24;1;1;1;0;0;1;15;7;1;0;1;0;0;0
België;Urgentiegeneeskunde;451;231;220;15;144;56;12;1;3;0;0;12;130;58;12;3;4;1;0;0
België;Gerechtelijke geneeskunde;7;4;3;1;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
België;Anesthesie-reanimatie;667;286;381;17;208;50;10;1;0;0;0;25;264;82;8;0;2;0;0;0
België;Heelkunde;372;182;190;16;128;35;2;1;0;0;0;16;133;38;2;1;0;0;0;0
België;Neurochirurgie;67;22;45;3;13;6;0;0;0;0;0;4;27;14;0;0;0;0;0;0
België;Plastische, reconstructieve en esthetische heelkunde;58;24;34;1;18;5;0;0;0;0;0;2;16;14;2;0;0;0;0;0
België;Urologie;138;61;77;5;41;15;0;0;0;0;0;6;56;15;0;0;0;0;0;0
België;Orthopedische heelkunde;283;86;197;6;57;23;0;0;0;0;0;16;140;39;1;0;1;0;0;0
België;Neurologie;168;107;61;12;79;15;1;0;0;0;0;8;40;13;0;0;0;0;0;0
België;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;130;110;20;8;78;21;2;1;0;0;0;3;15;1;1;0;0;0;0;0
België;Psychiatrie, meer bepaald volwassenpsychiatrie;259;149;110;10;96;32;6;2;2;1;0;5;83;18;1;1;2;0;0;0
België;Pneumologie;75;43;32;0;25;18;0;0;0;0;0;0;19;13;0;0;0;0;0;0
België;Gastro-enterologie;108;61;47;1;34;25;0;1;0;0;0;2;22;22;1;0;0;0;0;0
België;Cardiologie;139;52;87;2;25;24;0;0;0;0;1;1;35;47;3;1;0;0;0;0
België;Inwendige geneeskunde;817;452;365;57;360;29;3;2;1;0;0;56;270;34;4;1;0;0;0;0
België;Reumatologie;23;19;4;0;14;5;0;0;0;0;0;0;2;2;0;0;0;0;0;0
België;Acute geneeskunde;28;12;16;1;7;2;1;0;0;1;0;2;13;1;0;0;0;0;0;0
België;Gynaecologie-verloskunde;342;304;38;32;222;47;3;0;0;0;0;6;23;8;1;0;0;0;0;0
België;Oftalmologie;158;97;61;5;82;7;2;1;0;0;0;9;45;6;0;0;1;0;0;0
België;Otorhinolaryngologie;124;85;39;10;62;12;0;1;0;0;0;4;28;7;0;0;0;0;0;0
België;Stomatologie;73;23;50;1;20;2;0;0;0;0;0;4;39;7;0;0;0;0;0;0
België;Dermato-venereologie;105;88;17;13;70;4;0;1;0;0;0;1;13;2;1;0;0;0;0;0
België;Pediatrie;465;390;75;42;294;50;4;0;0;0;0;4;63;8;0;0;0;0;0;0
België;Fysische geneeskunde en revalidatie;110;53;57;4;41;6;1;1;0;0;0;3;49;5;0;0;0;0;0;0
België;Klinische biologie;71;31;40;2;20;6;3;0;0;0;0;5;23;11;0;1;0;0;0;0
België;Rontgendiagnose;265;92;173;5;72;11;2;1;1;0;0;14;137;21;1;0;0;0;0;0
België;Radiotherapie - oncologie;49;24;25;3;15;6;0;0;0;0;0;2;15;6;1;1;0;0;0;0
België;Nucleaire geneeskunde;39;19;20;2;12;5;0;0;0;0;0;1;16;2;1;0;0;0;0;0
België;Pathologische anatomie;66;41;25;2;33;6;0;0;0;0;0;2;18;3;1;1;0;0;0;0
België;Medische oncologie;66;40;26;1;20;19;0;0;0;0;0;0;14;12;0;0;0;0;0;0
België;Arbeidsgeneeskunde;69;45;24;0;11;9;11;5;7;2;0;0;3;6;4;4;1;1;3;2
Vlaams Gewest;Alle specialiteiten;3071;1715;1356;160;1196;306;33;9;8;3;0;118;936;267;21;6;6;0;2;0
Vlaams Gewest;Geriatrie;40;31;9;1;18;12;0;0;0;0;0;0;3;4;1;0;1;0;0;0
Vlaams Gewest;Urgentiegeneeskunde;196;100;96;9;62;24;5;0;0;0;0;5;57;28;4;0;2;0;0;0
Vlaams Gewest;Gerechtelijke geneeskunde;6;4;2;1;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Vlaams Gewest;Anesthesie-reanimatie;345;147;198;14;102;24;6;1;0;0;0;14;144;37;2;0;1;0;0;0
Vlaams Gewest;Heelkunde;184;88;96;11;54;20;2;1;0;0;0;8;74;14;0;0;0;0;0;0
Vlaams Gewest;Neurochirurgie;38;11;27;2;5;4;0;0;0;0;0;3;15;9;0;0;0;0;0;0
Vlaams Gewest;Plastische, reconstructieve en esthetische heelkunde;36;14;22;0;11;3;0;0;0;0;0;1;10;9;2;0;0;0;0;0
Vlaams Gewest;Urologie;91;40;51;5;26;9;0;0;0;0;0;5;37;9;0;0;0;0;0;0
Vlaams Gewest;Orthopedische heelkunde;156;45;111;4;29;12;0;0;0;0;0;11;73;26;1;0;0;0;0;0
Vlaams Gewest;Neurologie;95;65;30;6;47;11;1;0;0;0;0;4;22;4;0;0;0;0;0;0
Vlaams Gewest;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;70;61;9;4;45;11;1;0;0;0;0;1;7;0;1;0;0;0;0;0
Vlaams Gewest;Psychiatrie, meer bepaald volwassenpsychiatrie;144;83;61;9;53;17;3;0;1;0;0;4;45;9;1;1;1;0;0;0
Vlaams Gewest;Pneumologie;32;18;14;0;10;8;0;0;0;0;0;0;8;6;0;0;0;0;0;0
Vlaams Gewest;Gastro-enterologie;59;31;28;0;16;15;0;0;0;0;0;0;11;17;0;0;0;0;0;0
Vlaams Gewest;Cardiologie;65;17;48;0;9;8;0;0;0;0;0;0;18;27;2;1;0;0;0;0
Vlaams Gewest;Inwendige geneeskunde;448;251;197;37;193;17;2;1;1;0;0;32;144;19;1;1;0;0;0;0
Vlaams Gewest;Reumatologie;10;8;2;0;4;4;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Vlaams Gewest;Acute geneeskunde;24;11;13;1;6;2;1;0;0;1;0;2;10;1;0;0;0;0;0;0
