Gebied-Specialiteit;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Man;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17
;;;Vrouw;Man;25-29;30-34;35-39;40-44;45-49;50-54;25-29;30-34;35-39;40-44;45-49;50-54;55-59
België;Alle specialiteiten;227.0;109;118;4;81;14;6;3;1;1;98;9;3;2;3;2
;"Functionele en professionele revalidatie van
gehandicapten";32.0;17;15;1;9;3;2;2;0;0;6;3;1;2;1;2
;Mond-, kaak- en aangezichtschirurgie;14.0;3;11;0;3;0;0;0;0;0;11;0;0;0;0;0
;Intensieve zorgen;72.0;24;48;1;20;1;2;0;0;1;43;3;1;0;0;0
;Pediatrische neurologie;10.0;8;2;0;7;1;0;0;0;0;2;0;0;0;0;0
;Nefrologie;8.0;6;2;0;5;1;0;0;0;0;2;0;0;0;0;0
;Urgentiegeneeskunde;19.0;6;13;0;3;1;1;0;1;0;7;3;1;0;2;0
;Endocrino-diabetologie;17.0;7;10;0;6;1;0;0;0;0;10;0;0;0;0;0
;Neonatologie;14.0;13;1;1;8;3;0;1;0;0;1;0;0;0;0;0
;Oncologie;13.0;8;5;0;6;1;1;0;0;0;5;0;0;0;0;0
;Pediatrische hematologie en oncologie;7.0;7;0;0;7;0;0;0;0;0;0;0;0;0;0;0
;Klinische hematologie;14.0;6;8;1;5;0;0;0;0;0;8;0;0;0;0;0
;Forensische psychiatrie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;Klinische infectiologie;5.0;2;3;0;1;1;0;0;0;0;3;0;0;0;0;0
;Medische microbiologie;1.0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Vlaams Gewest;Alle specialiteiten;135.0;70;65;4;51;10;3;1;1;0;58;3;2;0;1;1
;"Functionele en professionele revalidatie van
gehandicapten";18.0;10;8;1;5;2;1;1;0;0;6;0;1;0;0;1
;Mond-, kaak- en aangezichtschirurgie;8.0;3;5;0;3;0;0;0;0;0;5;0;0;0;0;0
;Intensieve zorgen;42.0;14;28;1;12;0;1;0;0;0;27;1;0;0;0;0
;Pediatrische neurologie;7.0;6;1;0;5;1;0;0;0;0;1;0;0;0;0;0
;Nefrologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;Urgentiegeneeskunde;16.0;6;10;0;3;1;1;0;1;0;6;2;1;0;1;0
;Endocrino-diabetologie;11.0;7;4;0;6;1;0;0;0;0;4;0;0;0;0;0
;Neonatologie;9.0;9;0;1;6;2;0;0;0;0;0;0;0;0;0;0
;Oncologie;6.0;3;3;0;2;1;0;0;0;0;3;0;0;0;0;0
;Pediatrische hematologie en oncologie;4.0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0
;Klinische hematologie;7.0;3;4;1;2;0;0;0;0;0;4;0;0;0;0;0
;Forensische psychiatrie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;Klinische infectiologie;4.0;2;2;0;1;1;0;0;0;0;2;0;0;0;0;0
;Medische microbiologie;1.0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Waals Gewest;Alle specialiteiten;48.0;20;28;0;15;2;2;1;0;0;17;5;1;2;2;1
;"Functionele en professionele revalidatie van
gehandicapten";11.0;5;6;0;3;1;0;1;0;0;0;2;0;2;1;1
;Mond-, kaak- en aangezichtschirurgie;4.0;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0
;Intensieve zorgen;17.0;7;10;0;5;1;1;0;0;0;7;2;1;0;0;0
;Nefrologie;3.0;2;1;0;2;0;0;0;0;0;1;0;0;0;0;0
