gebied;specialiteit;totaal;totaal_vrouwen;totaal_mannen;vrouwen_min20;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_min20;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);191460;166111;25349;0;6917;14629;14029;16350;17766;17580;20429;20519;14746;23146;0;984;2672;2574;2896;3090;2734;2978;3223;2198;2000
Gewest Vlaanderen;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);124755;107669;17086;0;4765;9317;8776;10384;11360;11517;13671;13564;9584;14731;0;684;1616;1463;1698;1829;1814;2202;2398;1722;1660
Gewest Wallonië;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);56861;50032;6829;0;1777;4256;4364;5173;5617;5330;5920;6055;4512;7028;0;230;814;860;957;1084;782;661;720;418;303
Gewest Brussels hoofdstedelijk gewest;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);9844;8410;1434;0;375;1056;889;793;789;733;838;900;650;1387;0;70;242;251;241;177;138;115;105;58;37
Prov Vlaams Brabant;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);20368;17413;2955;0;655;1318;1245;1529;1756;1890;2416;2519;1724;2361;0;95;257;219;257;286;289;369;521;356;306
Prov West-Vlaanderen;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);27258;23717;3541;0;1139;2238;2123;2400;2471;2333;2746;2843;2196;3228;0;172;362;287;381;383;360;416;473;357;350
Prov Oost-Vlaanderen;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);29456;25422;4034;0;1117;2134;2038;2401;2741;2849;3195;3137;2219;3591;0;161;380;351;423;453;442;524;568;411;321
Prov Antwerpen;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);29547;25546;4001;0;1157;2205;1887;2346;2559;2762;3451;3435;2176;3568;0;146;339;343;381;422;445;542;599;403;381
Prov Limburg;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);18126;15571;2555;0;697;1422;1483;1708;1833;1683;1863;1630;1269;1983;0;110;278;263;256;285;278;351;237;195;302
Prov Waals Brabant;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);5753;5216;537;0;190;361;334;408;551;534;658;777;549;854;0;20;60;76;78;69;74;58;53;31;18
Prov Henegouwen;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);20705;18140;2565;0;567;1529;1534;1867;2123;2040;2305;2175;1627;2373;0;84;300;303;371;385;294;273;289;169;97
Prov Luik;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);17679;15436;2243;0;555;1442;1537;1729;1802;1591;1629;1698;1312;2141;0;66;253;284;316;371;266;188;228;149;122
Prov Namen;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);8645;7612;1033;0;320;627;664;759;744;787;869;941;707;1194;0;48;156;146;132;171;105;90;97;46;42
Prov Luxemburg;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);4079;3628;451;0;145;297;295;410;397;378;459;464;317;466;0;12;45;51;60;88;43;52;53;23;24
Prov Brussels hoofdstedelijk gewest;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);9844;8410;1434;0;375;1056;889;793;789;733;838;900;650;1387;0;70;242;251;241;177;138;115;105;58;37
België;GEEN ERKENNING;159160;140105;19055;0;5969;11532;10755;12646;13997;14060;17027;17730;13470;22919;0;844;2036;1840;2000;2175;1911;2139;2467;1738;1905
België;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;11241;7840;3401;0;446;1379;1193;1187;1113;960;703;503;271;85;0;123;493;441;505;471;403;377;324;199;65
België;BIJZONDERE BEROEPSTITEL - GERIATRIE;2203;1812;391;0;35;126;186;238;296;274;303;233;98;23;0;1;16;22;47;57;70;68;76;29;5
België;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;3027;2681;346;0;110;288;317;381;398;397;355;281;135;19;0;6;14;37;44;60;42;58;43;37;5
België;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;4740;4579;161;0;267;806;707;689;612;515;471;340;157;15;0;2;21;36;23;17;19;21;17;5;0
België;BIJZONDERE BEROEPSTITEL - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;2644;1796;848;0;29;145;180;262;325;300;234;211;97;13;0;3;34;76;99;147;145;118;124;95;7
België;BIJZONDERE BEROEPSTITEL - PERI-OPERATIEVE ZORGEN;2143;1736;407;0;46;180;249;293;274;269;242;142;38;3;0;3;35;44;78;71;41;68;54;13;0
België;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;3511;3187;324;0;5;75;273;405;489;514;606;563;220;37;0;0;9;32;54;56;51;56;36;26;4
België;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;870;783;87;0;9;46;59;106;120;123;152;117;40;11;0;1;5;9;19;4;11;17;16;5;0
België;BIJZONDERE BEROEPSBEKWAAMHEID - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;2208;1740;468;0;1;73;166;214;218;239;322;319;173;15;0;0;10;43;51;62;69;84;79;60;10
België;BIJZONDERE BEROEPSBEKWAAMHEID - PALLIATIEVE ZORG;952;850;102;0;2;33;48;82;100;131;164;194;87;9;0;1;5;11;9;9;16;21;21;9;0
Gewest Vlaanderen;GEEN ERKENNING;104471;91464;13007;0;4245;7691;6877;8179;8997;9200;11358;11645;8693;14579;0;605;1313;1066;1177;1288;1278;1559;1807;1336;1578
Gewest Vlaanderen;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;6643;4531;2112;0;251;749;697;692;646;578;383;308;170;57;0;69;234;246;299;273;254;273;245;162;57
Gewest Vlaanderen;BIJZONDERE BEROEPSTITEL - GERIATRIE;1638;1324;314;0;19;73;117;157;229;212;247;176;76;18;0;1;11;16;30;41;54;63;66;27;5
Gewest Vlaanderen;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;1994;1759;235;0;66;151;194;249;271;279;261;183;91;14;0;4;8;15;29;41;28;43;34;30;3
Gewest Vlaanderen;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;2668;2573;95;0;146;401;343;359;351;325;311;225;107;5;0;2;14;14;13;3;11;19;14;5;0
Gewest Vlaanderen;BIJZONDERE BEROEPSTITEL - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;1689;1126;563;0;13;73;105;150;199;204;160;144;68;10;0;1;10;38;54;90;100;86;96;82;6
