gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59
België;Alle specialiteiten;227;109;118;4;81;14;6;3;1;1;98;9;3;2;3;2
België;Functionele en professionele revalidatie van gehandicapten;32;17;15;1;9;3;2;2;0;0;6;3;1;2;1;2
België;Mond-, kaak- en aangezichtschirurgie;14;3;11;0;3;0;0;0;0;0;11;0;0;0;0;0
België;Intensieve zorgen;72;24;48;1;20;1;2;0;0;1;43;3;1;0;0;0
België;Pediatrische neurologie;10;8;2;0;7;1;0;0;0;0;2;0;0;0;0;0
België;Nefrologie;8;6;2;0;5;1;0;0;0;0;2;0;0;0;0;0
België;Urgentiegeneeskunde;19;6;13;0;3;1;1;0;1;0;7;3;1;0;2;0
België;Endocrino-diabetologie;17;7;10;0;6;1;0;0;0;0;10;0;0;0;0;0
België;Neonatologie;14;13;1;1;8;3;0;1;0;0;1;0;0;0;0;0
België;Oncologie;13;8;5;0;6;1;1;0;0;0;5;0;0;0;0;0
België;Pediatrische hematologie en oncologie;7;7;0;0;7;0;0;0;0;0;0;0;0;0;0;0
België;Klinische hematologie;14;6;8;1;5;0;0;0;0;0;8;0;0;0;0;0
België;Forensische psychiatrie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
België;Klinische infectiologie;5;2;3;0;1;1;0;0;0;0;3;0;0;0;0;0
België;Medische microbiologie;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Vlaams Gewest;Alle specialiteiten;135;70;65;4;51;10;3;1;1;0;58;3;2;0;1;1
Vlaams Gewest;Functionele en professionele revalidatie van gehandicapten;18;10;8;1;5;2;1;1;0;0;6;0;1;0;0;1
Vlaams Gewest;Mond-, kaak- en aangezichtschirurgie;8;3;5;0;3;0;0;0;0;0;5;0;0;0;0;0
Vlaams Gewest;Intensieve zorgen;42;14;28;1;12;0;1;0;0;0;27;1;0;0;0;0
Vlaams Gewest;Pediatrische neurologie;7;6;1;0;5;1;0;0;0;0;1;0;0;0;0;0
Vlaams Gewest;Nefrologie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Vlaams Gewest;Urgentiegeneeskunde;16;6;10;0;3;1;1;0;1;0;6;2;1;0;1;0
Vlaams Gewest;Endocrino-diabetologie;11;7;4;0;6;1;0;0;0;0;4;0;0;0;0;0
Vlaams Gewest;Neonatologie;9;9;0;1;6;2;0;0;0;0;0;0;0;0;0;0
Vlaams Gewest;Oncologie;6;3;3;0;2;1;0;0;0;0;3;0;0;0;0;0
Vlaams Gewest;Pediatrische hematologie en oncologie;4;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0
Vlaams Gewest;Klinische hematologie;7;3;4;1;2;0;0;0;0;0;4;0;0;0;0;0
Vlaams Gewest;Forensische psychiatrie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Vlaams Gewest;Klinische infectiologie;4;2;2;0;1;1;0;0;0;0;2;0;0;0;0;0
Vlaams Gewest;Medische microbiologie;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Waals Gewest;Alle specialiteiten;48;20;28;0;15;2;2;1;0;0;17;5;1;2;2;1
Waals Gewest;Functionele en professionele revalidatie van gehandicapten;11;5;6;0;3;1;0;1;0;0;0;2;0;2;1;1
Waals Gewest;Mond-, kaak- en aangezichtschirurgie;4;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0
Waals Gewest;Intensieve zorgen;17;7;10;0;5;1;1;0;0;0;7;2;1;0;0;0
Waals Gewest;Nefrologie;3;2;1;0;2;0;0;0;0;0;1;0;0;0;0;0
Waals Gewest;Urgentiegeneeskunde;3;0;3;0;0;0;0;0;0;0;1;1;0;0;1;0
Waals Gewest;Neonatologie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Waals Gewest;Oncologie;5;3;2;0;2;0;1;0;0;0;2;0;0;0;0;0
Waals Gewest;Pediatrische hematologie en oncologie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Waals Gewest;Klinische hematologie;3;1;2;0;1;0;0;0;0;0;2;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Alle specialiteiten;44;19;25;0;15;2;1;1;0;1;23;1;0;0;0;0
Brussels Hoofdstedelijk Gewest;Functionele en professionele revalidatie van gehandicapten;3;2;1;0;1;0;1;0;0;0;0;1;0;0;0;0
Brussels Hoofdstedelijk Gewest;Mond-, kaak- en aangezichtschirurgie;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Intensieve zorgen;13;3;10;0;3;0;0;0;0;1;9;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Pediatrische neurologie;3;2;1;0;2;0;0;0;0;0;1;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Nefrologie;4;3;1;0;2;1;0;0;0;0;1;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Endocrino-diabetologie;6;0;6;0;0;0;0;0;0;0;6;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Neonatologie;4;3;1;0;1;1;0;1;0;0;1;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Oncologie;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
