Territoire;Spécialité;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;TOUTES SPECIALITES;4362;1662;2700;0;0;138;293;327;296;190;150;133;135;0;0;75;193;273;294;362;375;357;771
Région Flandre;TOUTES SPECIALITES;2600;1009;1591;0;0;96;203;205;202;121;78;55;49;0;0;54;135;174;191;214;211;186;426
Région Wallonie;TOUTES SPECIALITES;1278;433;845;0;0;29;51;89;67;48;48;49;52;0;0;17;37;73;78;118;132;137;253
Région Région de Bruxelles-capitale;TOUTES SPECIALITES;484;220;264;0;0;13;39;33;27;21;24;29;34;0;0;4;21;26;25;30;32;34;92
Prov Brabant flamand;TOUTES SPECIALITES;662;291;371;0;0;36;54;59;52;22;29;23;16;0;0;10;34;35;43;47;40;45;117
Prov Flandre occidentale;TOUTES SPECIALITES;483;143;340;0;0;11;36;24;30;21;5;8;8;0;0;9;22;32;39;47;40;37;114
Prov Flandre orientale;TOUTES SPECIALITES;568;228;340;0;0;19;50;51;43;29;14;5;17;0;0;15;28;38;47;48;52;31;81
Prov Anvers;TOUTES SPECIALITES;632;263;369;0;0;21;49;54;57;35;24;18;5;0;0;14;30;40;42;55;55;54;79
Prov Limbourg;TOUTES SPECIALITES;255;84;171;0;0;9;14;17;20;14;6;1;3;0;0;6;21;29;20;17;24;19;35
Prov Brabant wallon;TOUTES SPECIALITES;279;89;190;0;0;3;6;15;14;12;15;13;11;0;0;4;7;12;19;24;34;26;64
Prov Hainaut;TOUTES SPECIALITES;318;94;224;0;0;8;10;28;12;3;11;9;13;0;0;2;5;11;18;41;39;45;63
Prov Liège;TOUTES SPECIALITES;438;167;271;0;0;13;23;25;30;22;12;19;23;0;0;5;17;29;29;31;39;44;77
Prov Namur;TOUTES SPECIALITES;183;63;120;0;0;5;10;15;9;6;8;5;5;0;0;5;8;12;11;18;14;15;37
Prov Luxembourg;TOUTES SPECIALITES;60;20;40;0;0;0;2;6;2;5;2;3;0;0;0;1;0;9;1;4;6;7;12
Prov Région de Bruxelles-capitale;TOUTES SPECIALITES;484;220;264;0;0;13;39;33;27;21;24;29;34;0;0;4;21;26;25;30;32;34;92
Belgique;MEDECINE NUCLEAIRE IN VITRO;211;83;128;0;0;0;0;3;8;17;30;10;15;0;0;1;0;1;6;15;24;33;48
Belgique;READAPTATION FONCTIONNELLE ET PROFESSIONNELLE DES HANDICAPES;979;361;618;0;0;5;31;59;76;38;35;46;71;0;0;4;22;32;36;55;55;75;339
Belgique;GERIATRIE;157;52;105;0;0;0;10;9;14;5;7;4;3;0;0;0;2;5;4;6;11;12;65
Belgique;CHIRURGIE ORALE ET MAXILLO-FACIALE;187;42;145;0;0;2;13;10;8;2;4;3;0;0;0;6;23;21;16;24;17;14;24
Belgique;SOINS INTENSIFS;873;282;591;0;0;43;58;67;51;38;12;6;7;0;0;39;64;68;90;96;104;61;69
Belgique;NEUROLOGIE PEDIATRIQUE;98;71;27;0;0;7;17;11;11;3;4;10;8;0;0;0;1;1;4;1;3;6;11
