Territoire-Spécialité;Unnamed: 1;Total;Genre;Unnamed: 4;Femme;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Homme;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17
;;;Femme;Homme;25-29;30-34;35-39;40-44;45-49;50-54;25-29;30-34;35-39;40-44;45-49;50-54;55-59
Belgique;Toutes les spécialités;227.0;109;118;4;81;14;6;3;1;1;98;9;3;2;3;2
;"Réadaptation fonctionnelle et professionnelle des
handicapés";32.0;17;15;1;9;3;2;2;0;0;6;3;1;2;1;2
;Chirurgie orale et maxillo-faciale;14.0;3;11;0;3;0;0;0;0;0;11;0;0;0;0;0
;Soins intensifs;72.0;24;48;1;20;1;2;0;0;1;43;3;1;0;0;0
;Neurologie pédiatrique;10.0;8;2;0;7;1;0;0;0;0;2;0;0;0;0;0
;Néphrologie;8.0;6;2;0;5;1;0;0;0;0;2;0;0;0;0;0
;Médecine d'urgence;19.0;6;13;0;3;1;1;0;1;0;7;3;1;0;2;0
;Endocrino-diabétologie;17.0;7;10;0;6;1;0;0;0;0;10;0;0;0;0;0
;Néonatologie;14.0;13;1;1;8;3;0;1;0;0;1;0;0;0;0;0
;Oncologie;13.0;8;5;0;6;1;1;0;0;0;5;0;0;0;0;0
;Hématologie et oncologie pédiatrique;7.0;7;0;0;7;0;0;0;0;0;0;0;0;0;0;0
;Hématologie clinique;14.0;6;8;1;5;0;0;0;0;0;8;0;0;0;0;0
;Psychiatrie médico-légale;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;Infectiologie clinique;5.0;2;3;0;1;1;0;0;0;0;3;0;0;0;0;0
;Microbiologie médicale;1.0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Région flamande;Toutes les spécialités;135.0;70;65;4;51;10;3;1;1;0;58;3;2;0;1;1
;"Réadaptation fonctionnelle et professionnelle des
handicapés";18.0;10;8;1;5;2;1;1;0;0;6;0;1;0;0;1
;Chirurgie orale et maxillo-faciale;8.0;3;5;0;3;0;0;0;0;0;5;0;0;0;0;0
;Soins intensifs;42.0;14;28;1;12;0;1;0;0;0;27;1;0;0;0;0
;Neurologie pédiatrique;7.0;6;1;0;5;1;0;0;0;0;1;0;0;0;0;0
;Néphrologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;Médecine d'urgence;16.0;6;10;0;3;1;1;0;1;0;6;2;1;0;1;0
;Endocrino-diabétologie;11.0;7;4;0;6;1;0;0;0;0;4;0;0;0;0;0
;Néonatologie;9.0;9;0;1;6;2;0;0;0;0;0;0;0;0;0;0
;Oncologie;6.0;3;3;0;2;1;0;0;0;0;3;0;0;0;0;0
;Hématologie et oncologie pédiatrique;4.0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0
;Hématologie clinique;7.0;3;4;1;2;0;0;0;0;0;4;0;0;0;0;0
;Psychiatrie médico-légale;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;Infectiologie clinique;4.0;2;2;0;1;1;0;0;0;0;2;0;0;0;0;0
;Microbiologie médicale;1.0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Région wallonne;Toutes les spécialités;48.0;20;28;0;15;2;2;1;0;0;17;5;1;2;2;1
;"Réadaptation fonctionnelle et professionnelle des
handicapés";11.0;5;6;0;3;1;0;1;0;0;0;2;0;2;1;1
;Chirurgie orale et maxillo-faciale;4.0;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0
;Soins intensifs;17.0;7;10;0;5;1;1;0;0;0;7;2;1;0;0;0
;Néphrologie;3.0;2;1;0;2;0;0;0;0;0;1;0;0;0;0;0
;Médecine d'urgence;3.0;0;3;0;0;0;0;0;0;0;1;1;0;0;1;0
;Néonatologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;Oncologie;5.0;3;2;0;2;0;1;0;0;0;2;0;0;0;0;0
;Hématologie et oncologie pédiatrique;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;Hématologie clinique;3.0;1;2;0;1;0;0;0;0;0;2;0;0;0;0;0
"Région de Bruxelles
Capitale";Toutes les spécialités;44.0;19;25;0;15;2;1;1;0;1;23;1;0;0;0;0
;"Réadaptation fonctionnelle et professionnelle des
handicapés";3.0;2;1;0;1;0;1;0;0;0;0;1;0;0;0;0
;Chirurgie orale et maxillo-faciale;2.0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0
;Soins intensifs;13.0;3;10;0;3;0;0;0;0;1;9;0;0;0;0;0
;Neurologie pédiatrique;3.0;2;1;0;2;0;0;0;0;0;1;0;0;0;0;0
;Néphrologie;4.0;3;1;0;2;1;0;0;0;0;1;0;0;0;0;0
;Endocrino-diabétologie;6.0;0;6;0;0;0;0;0;0;0;6;0;0;0;0;0
;Néonatologie;4.0;3;1;0;1;1;0;1;0;0;1;0;0;0;0;0
;Oncologie;2.0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;Hématologie et oncologie pédiatrique;2.0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;Hématologie clinique;4.0;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0
;Infectiologie clinique;1.0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Brabant flamand;Toutes les spécialités;44.0;19;25;1;14;3;0;1;0;0;22;3;0;0;0;0
;"Réadaptation fonctionnelle et professionnelle des
handicapés";6.0;4;2;0;2;1;0;1;0;0;2;0;0;0;0;0
;Chirurgie orale et maxillo-faciale;3.0;1;2;0;1;0;0;0;0;0;2;0;0;0;0;0
;Soins intensifs;13.0;4;9;0;4;0;0;0;0;0;8;1;0;0;0;0
;Neurologie pédiatrique;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;Médecine d'urgence;6.0;1;5;0;1;0;0;0;0;0;3;2;0;0;0;0
;Endocrino-diabétologie;2.0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0
;Néonatologie;4.0;4;0;1;1;2;0;0;0;0;0;0;0;0;0;0
;Oncologie;3.0;1;2;0;1;0;0;0;0;0;2;0;0;0;0;0
;Hématologie clinique;4.0;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0
;Psychiatrie médico-légale;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;Infectiologie clinique;1.0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Flandre occidentale;Toutes les spécialités;8.0;5;3;0;2;2;1;0;0;0;3;0;0;0;0;0
;"Réadaptation fonctionnelle et professionnelle des
handicapés";1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;Soins intensifs;4.0;2;2;0;1;0;1;0;0;0;2;0;0;0;0;0
;Neurologie pédiatrique;1.0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;Médecine d'urgence;2.0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0
Flandre orientale;Toutes les spécialités;40.0;20;20;1;16;3;0;0;0;0;17;0;2;0;1;0
;"Réadaptation fonctionnelle et professionnelle des
handicapés";5.0;1;4;0;1;0;0;0;0;0;3;0;1;0;0;0
;Chirurgie orale et maxillo-faciale;2.0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0
;Soins intensifs;11.0;4;7;0;4;0;0;0;0;0;7;0;0;0;0;0
;Médecine d'urgence;3.0;0;3;0;0;0;0;0;0;0;1;0;1;0;1;0
;Endocrino-diabétologie;7.0;5;2;0;4;1;0;0;0;0;2;0;0;0;0;0
;Néonatologie;2.0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;Oncologie;2.0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0
;Hématologie et oncologie pédiatrique;2.0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;Hématologie clinique;3.0;1;2;1;0;0;0;0;0;0;2;0;0;0;0;0
;Infectiologie clinique;3.0;2;1;0;1;1;0;0;0;0;1;0;0;0;0;0
Anvers;Toutes les spécialités;33.0;22;11;1;18;1;1;0;1;0;11;0;0;0;0;0
;"Réadaptation fonctionnelle et professionnelle des
handicapés";4.0;3;1;1;1;0;1;0;0;0;1;0;0;0;0;0
;Chirurgie orale et maxillo-faciale;2.0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0
;Soins intensifs;9.0;3;6;0;3;0;0;0;0;0;6;0;0;0;0;0
;Neurologie pédiatrique;5.0;4;1;0;4;0;0;0;0;0;1;0;0;0;0;0
;Néphrologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;Médecine d'urgence;3.0;2;1;0;1;0;0;0;1;0;1;0;0;0;0;0
;Endocrino-diabétologie;2.0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;Néonatologie;3.0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0
;Oncologie;1.0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;Hématologie et oncologie pédiatrique;2.0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;Microbiologie médicale;1.0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Limbourg;Toutes les spécialités;10.0;4;6;1;1;1;1;0;0;0;5;0;0;0;0;1
;"Réadaptation fonctionnelle et professionnelle des
handicapés";2.0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1
;Chirurgie orale et maxillo-faciale;1.0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
