Gebied-Specialiteit;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Man;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20
;;;Vrouw;Man;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
België;Alle specialiteiten;4736.0;1896;2840;166;286;353;327;245;182;132;205;114;179;233;322;313;379;365;935
;Nucleaire in vitro geneeskunde;205.0;82;123;0;0;2;6;10;24;19;21;1;1;0;3;6;19;30;63
;"Functionele en professionele revalidatie van
gehandicapten";996.0;385;611;11;23;51;62;66;46;29;97;11;19;28;37;41;58;56;361
;Geriatrie;143.0;50;93;0;6;6;12;9;5;7;5;0;1;2;5;3;7;11;64
;Mond-, kaak- en aangezichtschirurgie;214.0;54;160;7;8;17;9;5;2;5;1;9;17;28;22;20;18;18;28
;Intensieve zorgen;990.0;331;659;41;77;55;73;41;22;12;10;49;79;71;88;82;108;83;99
;Pediatrische neurologie;103.0;76;27;5;11;18;13;6;6;3;14;0;2;1;2;4;1;3;14
;Nefrologie;376.0;159;217;25;31;36;28;11;12;7;9;15;21;23;24;18;31;14;71
;Urgentiegeneeskunde;487.0;139;348;8;14;28;28;25;15;10;11;7;12;26;63;63;47;57;73
;Endocrino-diabetologie;376.0;213;163;26;37;47;30;30;12;15;16;6;7;13;19;18;14;21;65
;Neonatologie;145.0;104;41;9;20;20;18;17;9;7;4;2;3;4;7;8;5;6;6
;Oncologie;335.0;133;202;14;32;42;26;7;6;4;2;8;9;23;32;24;42;33;31
;Pediatrische hematologie en oncologie;44.0;32;12;1;3;8;4;4;7;2;3;0;1;3;1;3;2;0;2
;Klinische hematologie;180.0;95;85;19;21;18;15;7;8;5;2;6;7;9;12;13;13;8;17
;Beheer van gezondheidsgegevens;103.0;29;74;0;0;0;1;5;6;7;10;0;0;1;1;6;11;23;32
;Forensische psychiatrie;39.0;14;25;0;3;5;2;2;2;0;0;0;0;1;6;4;3;2;9
Vlaams Gewest;Alle specialiteiten;2890.0;1186;1704;123;197;229;226;159;109;67;76;90;124;155;199;207;215;200;514
;Nucleaire in vitro geneeskunde;108.0;38;70;0;0;2;4;8;11;7;6;1;0;0;3;5;12;19;30
;"Functionele en professionele revalidatie van
gehandicapten";627.0;252;375;10;21;42;44;49;31;13;42;11;18;21;26;27;35;28;209
;Geriatrie;96.0;34;62;0;6;3;11;5;3;3;3;0;1;2;4;1;4;9;41
;Mond-, kaak- en aangezichtschirurgie;160.0;34;126;6;7;9;7;2;0;3;0;7;15;25;17;14;13;15;20
;Intensieve zorgen;653.0;250;403;34;55;41;60;32;16;8;4;39;51;48;55;56;51;49;54
;Pediatrische neurologie;61.0;43;18;5;5;10;8;5;4;2;4;0;1;0;2;4;1;2;8
;Nefrologie;207.0;89;118;15;21;19;17;6;4;5;2;9;14;15;12;12;16;5;35
;Urgentiegeneeskunde;278.0;82;196;8;11;20;20;12;4;2;5;6;7;20;40;38;25;28;32
;Endocrino-diabetologie;190.0;114;76;18;21;24;14;14;9;10;4;6;4;5;10;8;8;5;30
;Neonatologie;80.0;54;26;6;12;7;7;10;8;3;1;2;2;2;3;6;4;4;3
;Oncologie;236.0;101;135;10;25;30;19;7;5;4;1;6;6;12;19;19;31;21;21
;Pediatrische hematologie en oncologie;26.0;20;6;0;2;6;2;3;5;1;1;0;1;0;0;3;1;0;1
;Klinische hematologie;94.0;53;41;11;9;11;11;3;4;4;0;3;4;4;3;8;6;3;10
;Beheer van gezondheidsgegevens;45.0;9;36;0;0;0;0;1;3;2;3;0;0;1;1;4;5;11;14
;Forensische psychiatrie;29.0;13;16;0;2;5;2;2;2;0;0;0;0;0;4;2;3;1;6
Waals Gewest;Alle specialiteiten;1325.0;478;847;29;54;75;84;60;50;41;85;15;42;50;93;78;126;129;314
;Nucleaire in vitro geneeskunde;67.0;30;37;0;0;0;2;1;11;7;9;0;1;0;0;0;5;7;24
;"Functionele en professionele revalidatie van
gehandicapten";270.0;96;174;1;1;6;16;13;10;12;37;0;1;5;7;9;18;19;115
;Geriatrie;39.0;14;25;0;0;3;1;4;2;2;2;0;0;0;0;2;2;2;19
;Mond-, kaak- en aangezichtschirurgie;32.0;8;24;1;0;5;2;0;0;0;0;1;2;2;4;5;5;0;5
