Gebied;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;125;116;9;0;13;15;11;17;20;19;8;7;6;1;0;1;2;3;1;1;0;0;0
Gewest Vlaanderen;95;90;5;0;6;14;10;13;15;17;6;6;3;0;0;0;2;2;1;0;0;0;0
Gewest Wallonië;19;17;2;0;5;0;1;3;3;0;2;1;2;0;0;1;0;0;0;1;0;0;0
Gewest Brussels hoofdstedelijk gewest;11;9;2;0;2;1;0;1;2;2;0;0;1;1;0;0;0;1;0;0;0;0;0
Prov Vlaams Brabant;12;12;0;0;1;1;2;1;1;3;0;3;0;0;0;0;0;0;0;0;0;0;0
Prov West-Vlaanderen;24;22;2;0;1;1;1;5;2;8;2;1;1;0;0;0;2;0;0;0;0;0;0
Prov Oost-Vlaanderen;33;32;1;0;3;6;6;5;6;3;2;0;1;0;0;0;0;0;1;0;0;0;0
Prov Antwerpen;20;19;1;0;1;5;1;2;5;2;2;1;0;0;0;0;0;1;0;0;0;0;0
Prov Limburg;6;5;1;0;0;1;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0
Prov Waals Brabant;4;3;1;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Prov Henegouwen;5;5;0;0;2;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Prov Luik;6;6;0;0;1;0;1;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0
Prov Namen;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Prov Luxemburg;3;2;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Prov Brussels hoofdstedelijk gewest;11;9;2;0;2;1;0;1;2;2;0;0;1;1;0;0;0;1;0;0;0;0;0
