Territoire-Spécialité;Unnamed: 1;Unnamed: 2;Total;Genre;Unnamed: 5;Femme;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Homme;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25
;;;;Femme;Homme;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
;Belgique;Tous les kinésithérapeutes;39948.0;24067;15881;1593;4145;2850;1800;2329;2431;2103;2065;1875;2876;701;2660;1683;833;1253;1557;1233;1320;1470;3171
;"Région
flamande";Tous les kinésithérapeutes;22514.0;14082;8432;903;2430;1525;1169;1424;1610;1281;1148;1068;1524;320;1282;768;461;700;839;639;721;824;1878
;"Région
wallonne";Tous les kinésithérapeutes;14212.0;8137;6075;546;1323;1069;521;806;714;720;769;661;1008;295;1034;681;283;474;631;521;534;544;1078
;"Région de
Bruxelles
Capitale";Tous les kinésithérapeutes;3222.0;1848;1374;144;392;256;110;99;107;102;148;146;344;86;344;234;89;79;87;73;65;102;215
;"Brabant
flamand";Tous les kinésithérapeutes;4830.0;3068;1762;194;491;394;254;307;317;276;257;236;342;73;273;191;110;165;172;125;146;151;356
;"Flandre
occidentale";Tous les kinésithérapeutes;4198.0;2498;1700;167;403;233;164;262;324;227;199;215;304;55;182;93;76;159;166;143;161;210;455
;"Flandre
orientale";Tous les kinésithérapeutes;5177.0;3367;1810;204;575;333;298;381;406;300;273;214;383;70;296;140;89;140;183;135;192;167;398
;Anvers;Tous les kinésithérapeutes;5529.0;3483;2046;212;665;364;316;312;361;333;304;282;334;74;351;219;125;138;195;150;159;201;434
;Limbourg;Tous les kinésithérapeutes;2780.0;1666;1114;126;296;201;137;162;202;145;115;121;161;48;180;125;61;98;123;86;63;95;235
;Brabant Wallon;Tous les kinésithérapeutes;2468.0;1580;888;94;217;197;95;152;139;116;170;166;234;42;143;109;55;69;99;75;80;88;128
;Hainaut;Tous les kinésithérapeutes;4260.0;2209;2051;128;357;261;139;201;207;211;211;186;308;91;323;227;78;147;209;174;178;182;442
;Liège;Tous les kinésithérapeutes;4107.0;2388;1719;177;399;317;142;252;205;220;215;194;267;77;303;179;73;146;178;157;154;166;286
;Namur;Tous les kinésithérapeutes;2029.0;1154;875;89;192;145;81;109;85;117;109;88;139;50;139;88;40;65;99;78;78;78;160
;Luxembourg;Tous les kinésithérapeutes;1348.0;806;542;58;158;149;64;92;78;56;64;27;60;35;126;78;37;47;46;37;44;30;62
;"Région de
Bruxelles
Capitale";Tous les kinésithérapeutes;3222.0;1848;1374;144;392;256;110;99;107;102;148;146;344;86;344;234;89;79;87;73;65;102;215
