Territoire;Specialité;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;TOUTES SPECIALITES;107;59;48;0;1;41;7;6;3;0;1;0;0;0;0;32;7;4;2;2;1;0;0
Région Flandre;TOUTES SPECIALITES;62;40;22;0;0;29;5;5;1;0;0;0;0;0;0;19;1;1;1;0;0;0;0
Région Wallonie;TOUTES SPECIALITES;26;9;17;0;0;5;1;1;2;0;0;0;0;0;0;11;4;1;0;1;0;0;0
Région de Bruxelles-capitale;TOUTES SPECIALITES;19;10;9;0;1;7;1;0;0;0;1;0;0;0;0;2;2;2;1;1;1;0;0
Prov Brabant flamand;TOUTES SPECIALITES;19;13;6;0;0;8;3;1;1;0;0;0;0;0;0;5;1;0;0;0;0;0;0
Prov Flandre occidentale;TOUTES SPECIALITES;7;3;4;0;0;3;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
Prov Flandre orientale;TOUTES SPECIALITES;13;8;5;0;0;7;0;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
Prov Anvers;TOUTES SPECIALITES;13;10;3;0;0;9;0;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0
Prov Limbourg;TOUTES SPECIALITES;10;6;4;0;0;2;2;2;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0
Prov Brabant wallon;TOUTES SPECIALITES;6;3;3;0;0;2;0;1;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0
Prov Hainaut;TOUTES SPECIALITES;5;3;2;0;0;1;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Prov Liège;TOUTES SPECIALITES;12;3;9;0;0;2;1;0;0;0;0;0;0;0;0;5;3;0;0;1;0;0;0
Prov Namur;TOUTES SPECIALITES;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Prov Luxembourg;TOUTES SPECIALITES;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Prov Région de Bruxelles-capitale;TOUTES SPECIALITES;19;10;9;0;1;7;1;0;0;0;1;0;0;0;0;2;2;2;1;1;1;0;0
Belgique;READAPTATION FONCTIONNELLE ET PROFESSIONNELLE DES HANDICAPES;19;9;10;0;0;2;3;3;1;0;0;0;0;0;0;2;3;2;0;2;1;0;0
Belgique;GERIATRIE;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgique;CHIRURGIE ORALE ET MAXILLO-FACIALE;4;2;2;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Belgique;SOINS INTENSIFS;26;12;14;0;0;12;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0
Belgique;NEUROLOGIE PEDIATRIQUE;5;4;1;0;0;3;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Belgique;NEPHROLOGIE;11;7;4;0;0;7;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
Belgique;MEDECINE D'URGENCE;19;6;13;0;0;1;3;1;1;0;0;0;0;0;0;8;2;2;1;0;0;0;0
Belgique;ENDOCRINO-DIABETOLOGIE;11;9;2;0;1;4;1;1;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0
Belgique;NEONATOLOGIE;4;3;1;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Belgique;HEMATOLOGIE CLINIQUE;6;5;1;0;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Région Flandre;READAPTATION FONCTIONNELLE ET PROFESSIONNELLE DES HANDICAPES;7;5;2;0;0;0;2;3;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Région Flandre;GERIATRIE;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Région Flandre;CHIRURGIE ORALE ET MAXILLO-FACIALE;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Région Flandre;SOINS INTENSIFS;22;12;10;0;0;12;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0
Région Flandre;NEUROLOGIE PEDIATRIQUE;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Région Flandre;NEPHROLOGIE;9;6;3;0;0;6;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
Région Flandre;MEDECINE D'URGENCE;11;5;6;0;0;1;3;1;0;0;0;0;0;0;0;4;0;1;1;0;0;0;0
Région Flandre;ENDOCRINO-DIABETOLOGIE;6;6;0;0;0;4;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Région Flandre;HEMATOLOGIE CLINIQUE;3;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Région Wallonie;READAPTATION FONCTIONNELLE ET PROFESSIONNELLE DES HANDICAPES;6;2;4;0;0;0;1;0;1;0;0;0;0;0;0;1;2;0;0;1;0;0;0
Région Wallonie;CHIRURGIE ORALE ET MAXILLO-FACIALE;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Région Wallonie;SOINS INTENSIFS;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
Région Wallonie;NEUROLOGIE PEDIATRIQUE;2;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Région Wallonie;MEDECINE D'URGENCE;8;1;7;0;0;0;0;0;1;0;0;0;0;0;0;4;2;1;0;0;0;0;0
Région Wallonie;NEONATOLOGIE;4;3;1;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Région Wallonie;HEMATOLOGIE CLINIQUE;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Région de Bruxelles-capitale;READAPTATION FONCTIONNELLE ET PROFESSIONNELLE DES HANDICAPES;6;2;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0
Région de Bruxelles-capitale;CHIRURGIE ORALE ET MAXILLO-FACIALE;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Région de Bruxelles-capitale;SOINS INTENSIFS;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Région de Bruxelles-capitale;NEUROLOGIE PEDIATRIQUE;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Région de Bruxelles-capitale;NEPHROLOGIE;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Région de Bruxelles-capitale;ENDOCRINO-DIABETOLOGIE;5;3;2;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0
Région de Bruxelles-capitale;HEMATOLOGIE CLINIQUE;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brabant flamand;READAPTATION FONCTIONNELLE ET PROFESSIONNELLE DES HANDICAPES;4;2;2;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Prov Brabant flamand;SOINS INTENSIFS;6;3;3;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
Prov Brabant flamand;NEUROLOGIE PEDIATRIQUE;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brabant flamand;NEPHROLOGIE;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Prov Brabant flamand;MEDECINE D'URGENCE;3;3;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brabant flamand;ENDOCRINO-DIABETOLOGIE;3;3;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Flandre occidentale;GERIATRIE;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Flandre occidentale;SOINS INTENSIFS;4;1;3;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
Prov Flandre occidentale;NEPHROLOGIE;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Prov Flandre orientale;SOINS INTENSIFS;5;3;2;0;0;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Prov Flandre orientale;NEPHROLOGIE;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Flandre orientale;MEDECINE D'URGENCE;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
Prov Flandre orientale;ENDOCRINO-DIABETOLOGIE;2;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Flandre orientale;HEMATOLOGIE CLINIQUE;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Anvers;GERIATRIE;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Anvers;CHIRURGIE ORALE ET MAXILLO-FACIALE;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Prov Anvers;SOINS INTENSIFS;5;4;1;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Prov Anvers;NEPHROLOGIE;3;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Anvers;MEDECINE D'URGENCE;2;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Prov Anvers;ENDOCRINO-DIABETOLOGIE;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Limbourg;READAPTATION FONCTIONNELLE ET PROFESSIONNELLE DES HANDICAPES;3;3;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Limbourg;SOINS INTENSIFS;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Prov Limbourg;NEPHROLOGIE;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Prov Limbourg;MEDECINE D'URGENCE;3;1;2;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
Prov Limbourg;HEMATOLOGIE CLINIQUE;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brabant wallon;CHIRURGIE ORALE ET MAXILLO-FACIALE;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brabant wallon;NEUROLOGIE PEDIATRIQUE;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brabant wallon;MEDECINE D'URGENCE;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
Prov Brabant wallon;NEONATOLOGIE;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Prov Hainaut;READAPTATION FONCTIONNELLE ET PROFESSIONNELLE DES HANDICAPES;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Hainaut;NEUROLOGIE PEDIATRIQUE;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Prov Hainaut;MEDECINE D'URGENCE;2;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
