territoire;spécialité;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;TOUTES SPECIALITES;266;156;110;66;76;7;3;1;2;1;0;0;0;49;52;8;1;0;0;0;0;0;0
Région Flandre;TOUTES SPECIALITES;137;83;54;43;33;1;3;1;1;1;0;0;0;33;19;1;1;0;0;0;0;0;0
Région Wallonie;TOUTES SPECIALITES;59;40;19;18;20;2;0;0;0;0;0;0;0;6;12;1;0;0;0;0;0;0;0
Région Région de Bruxelles-capitale;TOUTES SPECIALITES;70;33;37;5;23;4;0;0;1;0;0;0;0;10;21;6;0;0;0;0;0;0;0
Prov Brabant flamand;TOUTES SPECIALITES;36;20;16;11;6;0;2;0;0;1;0;0;0;11;4;1;0;0;0;0;0;0;0
Prov Flandre occidentale;TOUTES SPECIALITES;20;14;6;8;6;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0
Prov Flandre orientale;TOUTES SPECIALITES;40;24;16;9;12;0;1;1;1;0;0;0;0;8;8;0;0;0;0;0;0;0;0
Prov Anvers;TOUTES SPECIALITES;23;18;5;12;6;0;0;0;0;0;0;0;0;3;1;0;1;0;0;0;0;0;0
Prov Limbourg;TOUTES SPECIALITES;18;7;11;3;3;1;0;0;0;0;0;0;0;7;4;0;0;0;0;0;0;0;0
Prov Brabant wallon;TOUTES SPECIALITES;5;5;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Hainaut;TOUTES SPECIALITES;14;8;6;3;4;1;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0
Prov Liège;TOUTES SPECIALITES;34;22;12;9;12;1;0;0;0;0;0;0;0;3;8;1;0;0;0;0;0;0;0
Prov Namur;TOUTES SPECIALITES;4;3;1;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Prov Luxembourg;TOUTES SPECIALITES;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Région de Bruxelles-capitale;TOUTES SPECIALITES;70;33;37;5;23;4;0;0;1;0;0;0;0;10;21;6;0;0;0;0;0;0;0
Belgique;DENTISTERIE GENERALE;191;109;82;55;41;6;3;1;2;1;0;0;0;44;32;5;1;0;0;0;0;0;0
Belgique;PARODONTOLOGIE;31;12;19;2;10;0;0;0;0;0;0;0;0;3;14;2;0;0;0;0;0;0;0
Belgique;ORTHODONTIE;44;35;9;9;25;1;0;0;0;0;0;0;0;2;6;1;0;0;0;0;0;0;0
Région Flandre;DENTISTERIE GENERALE;94;56;38;38;11;1;3;1;1;1;0;0;0;30;7;0;1;0;0;0;0;0;0
Région Flandre;PARODONTOLOGIE;20;7;13;2;5;0;0;0;0;0;0;0;0;2;10;1;0;0;0;0;0;0;0
Région Flandre;ORTHODONTIE;23;20;3;3;17;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
Région Wallonie;DENTISTERIE GENERALE;47;31;16;14;15;2;0;0;0;0;0;0;0;6;9;1;0;0;0;0;0;0;0
Région Wallonie;PARODONTOLOGIE;5;3;2;0;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Région Wallonie;ORTHODONTIE;7;6;1;4;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Région Région de Bruxelles-capitale;DENTISTERIE GENERALE;50;22;28;3;15;3;0;0;1;0;0;0;0;8;16;4;0;0;0;0;0;0;0
Région Région de Bruxelles-capitale;PARODONTOLOGIE;6;2;4;0;2;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0
Région Région de Bruxelles-capitale;ORTHODONTIE;14;9;5;2;6;1;0;0;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0
Prov Brabant flamand;DENTISTERIE GENERALE;28;14;14;10;1;0;2;0;0;1;0;0;0;11;3;0;0;0;0;0;0;0;0
Prov Brabant flamand;PARODONTOLOGIE;4;2;2;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Prov Brabant flamand;ORTHODONTIE;4;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Flandre occidentale;DENTISTERIE GENERALE;12;8;4;7;1;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0
Prov Flandre occidentale;PARODONTOLOGIE;3;2;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Prov Flandre occidentale;ORTHODONTIE;5;4;1;1;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Prov Flandre orientale;DENTISTERIE GENERALE;23;15;8;9;3;0;1;1;1;0;0;0;0;7;1;0;0;0;0;0;0;0;0
Prov Flandre orientale;PARODONTOLOGIE;8;1;7;0;1;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0
Prov Flandre orientale;ORTHODONTIE;9;8;1;0;8;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Prov Anvers;DENTISTERIE GENERALE;17;13;4;9;4;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0
Prov Anvers;PARODONTOLOGIE;2;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Anvers;ORTHODONTIE;4;3;1;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Prov Limbourg;DENTISTERIE GENERALE;14;6;8;3;2;1;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0
Prov Limbourg;PARODONTOLOGIE;3;0;3;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
Prov Limbourg;ORTHODONTIE;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brabant wallon;DENTISTERIE GENERALE;5;5;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Hainaut;DENTISTERIE GENERALE;13;7;6;3;3;1;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0
Prov Hainaut;PARODONTOLOGIE;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Liège;DENTISTERIE GENERALE;23;14;9;5;8;1;0;0;0;0;0;0;0;3;5;1;0;0;0;0;0;0;0
Prov Liège;PARODONTOLOGIE;4;2;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Prov Liège;ORTHODONTIE;7;6;1;4;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Prov Namur;DENTISTERIE GENERALE;4;3;1;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Prov Luxembourg;DENTISTERIE GENERALE;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Région de Bruxelles-capitale;DENTISTERIE GENERALE;50;22;28;3;15;3;0;0;1;0;0;0;0;8;16;4;0;0;0;0;0;0;0
Prov Région de Bruxelles-capitale;PARODONTOLOGIE;6;2;4;0;2;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0
Prov Région de Bruxelles-capitale;ORTHODONTIE;14;9;5;2;6;1;0;0;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0
