territoire;spécialité;total;genre_femme;genre_homme;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59
Belgique;Toutes les spécialités;227;109;118;4;81;14;6;3;1;1;98;9;3;2;3;2
Belgique;Réadaptation fonctionnelle et professionnelle des handicapés;32;17;15;1;9;3;2;2;0;0;6;3;1;2;1;2
Belgique;Chirurgie orale et maxillo-faciale;14;3;11;0;3;0;0;0;0;0;11;0;0;0;0;0
Belgique;Soins intensifs;72;24;48;1;20;1;2;0;0;1;43;3;1;0;0;0
Belgique;Neurologie pédiatrique;10;8;2;0;7;1;0;0;0;0;2;0;0;0;0;0
Belgique;Néphrologie;8;6;2;0;5;1;0;0;0;0;2;0;0;0;0;0
Belgique;Médecine d'urgence;19;6;13;0;3;1;1;0;1;0;7;3;1;0;2;0
Belgique;Endocrino-diabétologie;17;7;10;0;6;1;0;0;0;0;10;0;0;0;0;0
Belgique;Néonatologie;14;13;1;1;8;3;0;1;0;0;1;0;0;0;0;0
Belgique;Oncologie;13;8;5;0;6;1;1;0;0;0;5;0;0;0;0;0
Belgique;Hématologie et oncologie pédiatrique;7;7;0;0;7;0;0;0;0;0;0;0;0;0;0;0
Belgique;Hématologie clinique;14;6;8;1;5;0;0;0;0;0;8;0;0;0;0;0
Belgique;Psychiatrie médico-légale;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Belgique;Infectiologie clinique;5;2;3;0;1;1;0;0;0;0;3;0;0;0;0;0
Belgique;Microbiologie médicale;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Région flamande;Toutes les spécialités;135;70;65;4;51;10;3;1;1;0;58;3;2;0;1;1
Région flamande;Réadaptation fonctionnelle et professionnelle des handicapés;18;10;8;1;5;2;1;1;0;0;6;0;1;0;0;1
Région flamande;Chirurgie orale et maxillo-faciale;8;3;5;0;3;0;0;0;0;0;5;0;0;0;0;0
Région flamande;Soins intensifs;42;14;28;1;12;0;1;0;0;0;27;1;0;0;0;0
Région flamande;Neurologie pédiatrique;7;6;1;0;5;1;0;0;0;0;1;0;0;0;0;0
Région flamande;Néphrologie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Région flamande;Médecine d'urgence;16;6;10;0;3;1;1;0;1;0;6;2;1;0;1;0
Région flamande;Endocrino-diabétologie;11;7;4;0;6;1;0;0;0;0;4;0;0;0;0;0
Région flamande;Néonatologie;9;9;0;1;6;2;0;0;0;0;0;0;0;0;0;0
Région flamande;Oncologie;6;3;3;0;2;1;0;0;0;0;3;0;0;0;0;0
Région flamande;Hématologie et oncologie pédiatrique;4;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0
Région flamande;Hématologie clinique;7;3;4;1;2;0;0;0;0;0;4;0;0;0;0;0
Région flamande;Psychiatrie médico-légale;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Région flamande;Infectiologie clinique;4;2;2;0;1;1;0;0;0;0;2;0;0;0;0;0
Région flamande;Microbiologie médicale;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Région wallonne;Toutes les spécialités;48;20;28;0;15;2;2;1;0;0;17;5;1;2;2;1
Région wallonne;Réadaptation fonctionnelle et professionnelle des handicapés;11;5;6;0;3;1;0;1;0;0;0;2;0;2;1;1
Région wallonne;Chirurgie orale et maxillo-faciale;4;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0
Région wallonne;Soins intensifs;17;7;10;0;5;1;1;0;0;0;7;2;1;0;0;0
Région wallonne;Néphrologie;3;2;1;0;2;0;0;0;0;0;1;0;0;0;0;0
Région wallonne;Médecine d'urgence;3;0;3;0;0;0;0;0;0;0;1;1;0;0;1;0
Région wallonne;Néonatologie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Région wallonne;Oncologie;5;3;2;0;2;0;1;0;0;0;2;0;0;0;0;0
Région wallonne;Hématologie et oncologie pédiatrique;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Région wallonne;Hématologie clinique;3;1;2;0;1;0;0;0;0;0;2;0;0;0;0;0
Région de Bruxelles Capitale;Toutes les spécialités;44;19;25;0;15;2;1;1;0;1;23;1;0;0;0;0
Région de Bruxelles Capitale;Réadaptation fonctionnelle et professionnelle des handicapés;3;2;1;0;1;0;1;0;0;0;0;1;0;0;0;0
Région de Bruxelles Capitale;Chirurgie orale et maxillo-faciale;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0
Région de Bruxelles Capitale;Soins intensifs;13;3;10;0;3;0;0;0;0;1;9;0;0;0;0;0
Région de Bruxelles Capitale;Neurologie pédiatrique;3;2;1;0;2;0;0;0;0;0;1;0;0;0;0;0
Région de Bruxelles Capitale;Néphrologie;4;3;1;0;2;1;0;0;0;0;1;0;0;0;0;0
Région de Bruxelles Capitale;Endocrino-diabétologie;6;0;6;0;0;0;0;0;0;0;6;0;0;0;0;0
Région de Bruxelles Capitale;Néonatologie;4;3;1;0;1;1;0;1;0;0;1;0;0;0;0;0
Région de Bruxelles Capitale;Oncologie;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Hématologie et oncologie pédiatrique;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Hématologie clinique;4;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0
Région de Bruxelles Capitale;Infectiologie clinique;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Brabant flamand;Toutes les spécialités;44;19;25;1;14;3;0;1;0;0;22;3;0;0;0;0
Brabant flamand;Réadaptation fonctionnelle et professionnelle des handicapés;6;4;2;0;2;1;0;1;0;0;2;0;0;0;0;0
Brabant flamand;Chirurgie orale et maxillo-faciale;3;1;2;0;1;0;0;0;0;0;2;0;0;0;0;0
Brabant flamand;Soins intensifs;13;4;9;0;4;0;0;0;0;0;8;1;0;0;0;0
Brabant flamand;Neurologie pédiatrique;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Brabant flamand;Médecine d'urgence;6;1;5;0;1;0;0;0;0;0;3;2;0;0;0;0
Brabant flamand;Endocrino-diabétologie;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0
Brabant flamand;Néonatologie;4;4;0;1;1;2;0;0;0;0;0;0;0;0;0;0
Brabant flamand;Oncologie;3;1;2;0;1;0;0;0;0;0;2;0;0;0;0;0
Brabant flamand;Hématologie clinique;4;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0
Brabant flamand;Psychiatrie médico-légale;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Brabant flamand;Infectiologie clinique;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Flandre occidentale;Toutes les spécialités;8;5;3;0;2;2;1;0;0;0;3;0;0;0;0;0
Flandre occidentale;Réadaptation fonctionnelle et professionnelle des handicapés;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Flandre occidentale;Soins intensifs;4;2;2;0;1;0;1;0;0;0;2;0;0;0;0;0
Flandre occidentale;Neurologie pédiatrique;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Flandre occidentale;Médecine d'urgence;2;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0
Flandre orientale;Toutes les spécialités;40;20;20;1;16;3;0;0;0;0;17;0;2;0;1;0
Flandre orientale;Réadaptation fonctionnelle et professionnelle des handicapés;5;1;4;0;1;0;0;0;0;0;3;0;1;0;0;0
Flandre orientale;Chirurgie orale et maxillo-faciale;2;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0
Flandre orientale;Soins intensifs;11;4;7;0;4;0;0;0;0;0;7;0;0;0;0;0
Flandre orientale;Médecine d'urgence;3;0;3;0;0;0;0;0;0;0;1;0;1;0;1;0
Flandre orientale;Endocrino-diabétologie;7;5;2;0;4;1;0;0;0;0;2;0;0;0;0;0
Flandre orientale;Néonatologie;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Flandre orientale;Oncologie;2;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0
Flandre orientale;Hématologie et oncologie pédiatrique;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Flandre orientale;Hématologie clinique;3;1;2;1;0;0;0;0;0;0;2;0;0;0;0;0
Flandre orientale;Infectiologie clinique;3;2;1;0;1;1;0;0;0;0;1;0;0;0;0;0
Anvers;Toutes les spécialités;33;22;11;1;18;1;1;0;1;0;11;0;0;0;0;0
Anvers;Réadaptation fonctionnelle et professionnelle des handicapés;4;3;1;1;1;0;1;0;0;0;1;0;0;0;0;0
Anvers;Chirurgie orale et maxillo-faciale;2;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0
Anvers;Soins intensifs;9;3;6;0;3;0;0;0;0;0;6;0;0;0;0;0
Anvers;Neurologie pédiatrique;5;4;1;0;4;0;0;0;0;0;1;0;0;0;0;0
Anvers;Néphrologie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Anvers;Médecine d'urgence;3;2;1;0;1;0;0;0;1;0;1;0;0;0;0;0
Anvers;Endocrino-diabétologie;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Anvers;Néonatologie;3;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0
Anvers;Oncologie;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Anvers;Hématologie et oncologie pédiatrique;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Anvers;Microbiologie médicale;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Limbourg;Toutes les spécialités;10;4;6;1;1;1;1;0;0;0;5;0;0;0;0;1
Limbourg;Réadaptation fonctionnelle et professionnelle des handicapés;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1
Limbourg;Chirurgie orale et maxillo-faciale;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Limbourg;Soins intensifs;5;1;4;1;0;0;0;0;0;0;4;0;0;0;0;0
Limbourg;Médecine d'urgence;2;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0
Brabant Wallon;Toutes les spécialités;8;3;5;0;2;0;1;0;0;0;1;1;0;1;2;0
Brabant Wallon;Réadaptation fonctionnelle et professionnelle des handicapés;4;1;3;0;1;0;0;0;0;0;0;1;0;1;1;0
Brabant Wallon;Soins intensifs;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Brabant Wallon;Médecine d'urgence;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
Brabant Wallon;Oncologie;2;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0
Hainaut;Toutes les spécialités;4;2;2;0;2;0;0;0;0;0;1;1;0;0;0;0
Hainaut;Néphrologie;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Hainaut;Médecine d'urgence;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
Hainaut;Hématologie clinique;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Liège;Toutes les spécialités;24;11;13;0;8;2;1;0;0;0;11;1;0;1;0;0
Liège;Réadaptation fonctionnelle et professionnelle des handicapés;3;2;1;0;1;1;0;0;0;0;0;0;0;1;0;0
