gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
België;Alle vroedvrouwen;13206;13098;108;903;1914;2267;1534;1319;950;1024;1112;960;1115;3;5;6;6;10;10;19;17;25;7
Vlaams Gewest;Alle vroedvrouwen;9145;9076;69;688;1304;1536;1071;1014;635;687;761;667;713;1;3;3;5;3;6;14;14;17;3
Waals Gewest;Alle vroedvrouwen;3251;3220;31;164;443;557;358;263;269;300;286;252;328;2;1;3;0;5;3;3;3;8;3
Brussels Hoofdstedelijk Gewest;Alle vroedvrouwen;810;802;8;51;167;174;105;42;46;37;65;41;74;0;1;0;1;2;1;2;0;0;1
Vlaams Brabant;Alle vroedvrouwen;1727;1709;18;113;236;337;210;157;117;125;157;129;128;0;1;1;1;1;2;2;4;5;1
West-Vlaanderen;Alle vroedvrouwen;1782;1770;12;151;254;285;194;174;129;137;147;143;156;0;1;1;1;0;0;2;1;5;1
Oost-Vlaanderen;Alle vroedvrouwen;1925;1908;17;168;277;359;238;268;121;157;131;113;76;0;0;0;1;1;2;6;4;3;0
Antwerpen;Alle vroedvrouwen;2456;2441;15;148;358;378;287;279;174;180;215;186;236;1;1;1;2;1;2;1;3;2;1
Limburg;Alle vroedvrouwen;1255;1248;7;108;179;177;142;136;94;88;111;96;117;0;0;0;0;0;0;3;2;2;0
Waals Brabant;Alle vroedvrouwen;457;452;5;25;47;81;55;35;30;38;44;45;52;0;0;1;0;0;0;0;1;2;1
Henegouwen;Alle vroedvrouwen;972;961;11;37;129;160;97;85;94;108;88;70;93;1;1;0;0;1;1;2;1;3;1
Luik;Alle vroedvrouwen;965;954;11;48;133;164;134;78;86;77;73;69;92;0;0;1;0;4;2;1;1;2;0
Namen;Alle vroedvrouwen;572;570;2;37;80;111;48;44;36;54;46;46;68;1;0;0;0;0;0;0;0;1;0
Luxemburg;Alle vroedvrouwen;285;283;2;17;54;41;24;21;23;23;35;22;23;0;0;1;0;0;0;0;0;0;1
Brussels Hoofdstedelijk Gewest;Alle vroedvrouwen;810;802;8;51;167;174;105;42;46;37;65;41;74;0;1;0;1;2;1;2;0;0;1
België;Zonder toelating om voor te schrijven;11356;11258;98;618;1275;1892;1356;1183;874;967;1052;933;1108;2;2;5;5;9;9;19;17;24;6
Vlaams Gewest;Zonder toelating om voor te schrijven;8208;8143;65;532;1008;1345;983;928;588;666;731;650;712;1;1;3;4;3;5;14;14;17;3
Waals Gewest;Zonder toelating om voor te schrijven;2591;2565;26;60;187;439;300;226;252;272;261;242;326;1;0;2;0;5;3;3;3;7;2
