gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
België;Alle specialiteiten;5075;2111;2964;181;329;339;349;318;193;148;254;156;205;228;302;304;374;378;1017
België;Nucleaire in vitro geneeskunde;191;77;114;0;0;0;2;8;16;28;23;0;2;0;1;3;13;23;72
België;Functionele en professionele revalidatie van gehandicapten;988;399;589;13;22;36;65;81;38;35;109;11;21;28;33;41;55;53;347
België;Geriatrie;136;49;87;0;0;9;8;13;6;7;6;0;0;1;5;4;5;10;62
België;Mond-, kaak- en aangezichtschirurgie;238;63;175;8;14;14;10;8;2;4;3;15;24;24;22;16;23;17;34
België;Intensieve zorgen;1095;378;717;48;88;61;66;55;36;11;13;74;83;79;76;83;96;102;124
België;Pediatrische neurologie;117;90;27;14;13;17;14;8;4;3;17;1;2;1;2;3;2;3;13
België;Nefrologie;398;176;222;25;35;42;24;22;10;5;13;14;19;27;21;21;25;25;70
België;Urgentiegeneeskunde;506;150;356;9;17;22;29;24;23;7;19;8;18;24;50;56;55;50;95
België;Endocrino-diabetologie;398;234;164;25;48;36;40;32;19;13;21;8;7;8;23;17;14;15;72
België;Neonatologie;157;112;45;8;18;22;15;22;14;6;7;1;6;4;7;7;6;6;8
België;Oncologie;362;151;211;14;38;35;38;12;5;7;2;10;13;13;31;28;36;35;45
België;Pediatrische hematologie en oncologie;49;36;13;2;4;7;6;3;3;6;5;1;0;3;1;3;3;0;2
België;Klinische hematologie;194;103;91;14;26;20;17;9;8;5;4;13;6;5;16;5;19;7;20
België;Beheer van gezondheidsgegevens;102;29;73;0;0;0;1;4;4;8;12;0;0;1;0;2;11;20;39
België;Forensische psychiatrie;42;14;28;0;2;5;1;3;3;0;0;0;0;1;4;5;4;4;10
België;Klinische infectiologie;37;16;21;1;2;4;4;4;0;1;0;0;2;4;5;3;2;3;2
België;Medische microbiologie;65;34;31;0;2;9;9;10;2;2;0;0;2;5;5;7;5;5;2
Vlaams Gewest;Alle specialiteiten;3128;1320;1808;117;229;238;223;219;119;78;97;114;150;158;192;197;222;219;556
Vlaams Gewest;Nucleaire in vitro geneeskunde;100;34;66;0;0;0;2;6;10;10;6;0;1;0;1;3;8;13;40
Vlaams Gewest;Functionele en professionele revalidatie van gehandicapten;628;261;367;12;19;31;49;60;27;17;46;11;20;23;22;27;36;27;201
Vlaams Gewest;Geriatrie;92;34;58;0;0;9;5;10;3;4;3;0;0;1;4;2;3;8;40
Vlaams Gewest;Mond-, kaak- en aangezichtschirurgie;173;39;134;4;12;11;3;6;0;1;2;11;18;22;19;10;16;14;24
Vlaams Gewest;Intensieve zorgen;730;282;448;37;59;50;52;47;24;8;5;55;59;55;51;54;53;57;64
Vlaams Gewest;Pediatrische neurologie;64;48;16;7;9;8;7;6;3;2;6;0;1;0;2;3;1;2;7
Vlaams Gewest;Nefrologie;214;99;115;15;23;23;13;14;3;4;4;4;13;15;14;10;14;11;34
Vlaams Gewest;Urgentiegeneeskunde;291;88;203;8;17;14;19;15;8;1;6;6;14;18;30;35;31;27;42
Vlaams Gewest;Endocrino-diabetologie;202;126;76;12;33;21;14;16;13;9;8;6;5;3;11;8;6;6;31
Vlaams Gewest;Neonatologie;83;57;26;5;10;11;5;10;10;4;2;0;4;2;2;5;4;5;4
Vlaams Gewest;Oncologie;260;114;146;8;29;27;28;10;5;6;1;9;10;8;19;20;25;25;30
Vlaams Gewest;Pediatrische hematologie en oncologie;28;21;7;0;2;4;5;1;3;4;2;1;0;1;0;2;2;0;1
Vlaams Gewest;Klinische hematologie;107;57;50;8;12;13;11;5;4;2;2;11;3;2;6;4;8;6;10
Vlaams Gewest;Beheer van gezondheidsgegevens;45;9;36;0;0;0;0;1;1;3;4;0;0;1;0;2;7;7;19
Vlaams Gewest;Forensische psychiatrie;31;13;18;0;1;5;1;3;3;0;0;0;0;0;3;3;2;3;7
Vlaams Gewest;Klinische infectiologie;33;14;19;1;2;4;3;3;0;1;0;0;1;4;4;3;2;3;2
Vlaams Gewest;Medische microbiologie;47;24;23;0;1;7;6;6;2;2;0;0;1;3;4;6;4;5;0
Waals Gewest;Alle specialiteiten;1401;541;860;44;68;63;94;71;52;46;103;27;36;47;82;76;120;126;346
Waals Gewest;Nucleaire in vitro geneeskunde;64;29;35;0;0;0;0;2;5;11;11;0;1;0;0;0;3;7;24
