territoire;spécialité;total;genre_femme;genre_homme;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59
Belgique;Toutes les spécialités;220;112;108;1;87;15;4;4;1;1;82;10;6;5;3;1
Belgique;Réadaptation fonctionnelle et professionnelle des handicapés;42;24;18;0;11;9;1;3;0;0;7;4;1;4;1;1
Belgique;Chirurgie orale et maxillo-faciale;13;2;11;0;2;0;0;0;0;1;10;0;0;0;0;0
Belgique;Soins intensifs;68;25;43;1;23;1;0;0;0;0;36;4;1;1;1;0
Belgique;Neurologie pédiatrique;12;9;3;0;7;1;1;0;0;0;3;0;0;0;0;0
Belgique;Néphrologie;11;5;6;0;5;0;0;0;0;0;6;0;0;0;0;0
Belgique;Médecine d'urgence;18;8;10;0;4;1;1;1;1;0;6;1;2;0;1;0
Belgique;Endocrino-diabétologie;11;8;3;0;7;0;1;0;0;0;2;0;1;0;0;0
Belgique;Néonatologie;9;8;1;0;7;1;0;0;0;0;0;0;1;0;0;0
Belgique;Oncologie;10;7;3;0;7;0;0;0;0;0;2;1;0;0;0;0
Belgique;Hématologie et oncologie pédiatrique;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Belgique;Hématologie clinique;15;9;6;0;9;0;0;0;0;0;6;0;0;0;0;0
Belgique;Psychiatrie médico-légale;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Belgique;Infectiologie clinique;8;4;4;0;3;1;0;0;0;0;4;0;0;0;0;0
Belgique;Microbiologie médicale;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Région flamande;Toutes les spécialités;149;83;66;1;66;10;3;2;1;0;54;4;3;3;1;1
Région flamande;Réadaptation fonctionnelle et professionnelle des handicapés;27;14;13;0;7;5;0;2;0;0;7;2;1;2;0;1
Région flamande;Chirurgie orale et maxillo-faciale;8;2;6;0;2;0;0;0;0;0;6;0;0;0;0;0
Région flamande;Soins intensifs;48;18;30;1;17;0;0;0;0;0;27;1;0;1;1;0
Région flamande;Neurologie pédiatrique;9;8;1;0;6;1;1;0;0;0;1;0;0;0;0;0
Région flamande;Néphrologie;5;2;3;0;2;0;0;0;0;0;3;0;0;0;0;0
Région flamande;Médecine d'urgence;13;7;6;0;4;1;1;0;1;0;4;1;1;0;0;0
Région flamande;Endocrino-diabétologie;10;7;3;0;6;0;1;0;0;0;2;0;1;0;0;0
Région flamande;Néonatologie;7;7;0;0;6;1;0;0;0;0;0;0;0;0;0;0
Région flamande;Oncologie;8;7;1;0;7;0;0;0;0;0;1;0;0;0;0;0
Région flamande;Hématologie et oncologie pédiatrique;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Région flamande;Hématologie clinique;6;4;2;0;4;0;0;0;0;0;2;0;0;0;0;0
Région flamande;Psychiatrie médico-légale;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Région flamande;Infectiologie clinique;5;4;1;0;3;1;0;0;0;0;1;0;0;0;0;0
Région flamande;Microbiologie médicale;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Région wallonne;Toutes les spécialités;39;18;21;0;12;4;0;2;0;1;12;4;1;1;2;0
Région wallonne;Réadaptation fonctionnelle et professionnelle des handicapés;10;7;3;0;2;4;0;1;0;0;0;1;0;1;1;0
Région wallonne;Chirurgie orale et maxillo-faciale;3;0;3;0;0;0;0;0;0;1;2;0;0;0;0;0
Région wallonne;Soins intensifs;7;2;5;0;2;0;0;0;0;0;3;2;0;0;0;0
Région wallonne;Neurologie pédiatrique;2;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0
Région wallonne;Néphrologie;4;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0
Région wallonne;Médecine d'urgence;5;1;4;0;0;0;0;1;0;0;2;0;1;0;1;0
Région wallonne;Néonatologie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Région wallonne;Oncologie;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
Région wallonne;Hématologie clinique;6;4;2;0;4;0;0;0;0;0;2;0;0;0;0;0
Région de Bruxelles Capitale;Toutes les spécialités;32;11;21;0;9;1;1;0;0;0;16;2;2;1;0;0
Région de Bruxelles Capitale;Réadaptation fonctionnelle et professionnelle des handicapés;5;3;2;0;2;0;1;0;0;0;0;1;0;1;0;0
Région de Bruxelles Capitale;Chirurgie orale et maxillo-faciale;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0
Région de Bruxelles Capitale;Soins intensifs;13;5;8;0;4;1;0;0;0;0;6;1;1;0;0;0
Région de Bruxelles Capitale;Neurologie pédiatrique;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Région de Bruxelles Capitale;Néphrologie;2;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0
Région de Bruxelles Capitale;Endocrino-diabétologie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Néonatologie;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
Région de Bruxelles Capitale;Oncologie;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Région de Bruxelles Capitale;Hématologie clinique;3;1;2;0;1;0;0;0;0;0;2;0;0;0;0;0
Région de Bruxelles Capitale;Infectiologie clinique;3;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0
Brabant flamand;Toutes les spécialités;51;27;24;0;23;2;1;1;0;0;21;1;0;1;1;0
Brabant flamand;Réadaptation fonctionnelle et professionnelle des handicapés;6;4;2;0;2;1;0;1;0;0;1;0;0;1;0;0
Brabant flamand;Chirurgie orale et maxillo-faciale;4;1;3;0;1;0;0;0;0;0;3;0;0;0;0;0
Brabant flamand;Soins intensifs;16;5;11;0;5;0;0;0;0;0;10;0;0;0;1;0
Brabant flamand;Neurologie pédiatrique;4;4;0;0;3;0;1;0;0;0;0;0;0;0;0;0
Brabant flamand;Néphrologie;4;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0
Brabant flamand;Médecine d'urgence;2;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0
Brabant flamand;Endocrino-diabétologie;4;3;1;0;3;0;0;0;0;0;1;0;0;0;0;0
Brabant flamand;Néonatologie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Brabant flamand;Oncologie;3;2;1;0;2;0;0;0;0;0;1;0;0;0;0;0
Brabant flamand;Hématologie clinique;4;3;1;0;3;0;0;0;0;0;1;0;0;0;0;0
Brabant flamand;Psychiatrie médico-légale;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Brabant flamand;Infectiologie clinique;2;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0
Flandre occidentale;Toutes les spécialités;15;8;7;0;5;3;0;0;0;0;5;2;0;0;0;0
Flandre occidentale;Réadaptation fonctionnelle et professionnelle des handicapés;5;2;3;0;2;0;0;0;0;0;1;2;0;0;0;0
Flandre occidentale;Soins intensifs;5;2;3;0;2;0;0;0;0;0;3;0;0;0;0;0
Flandre occidentale;Neurologie pédiatrique;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Flandre occidentale;Néphrologie;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Flandre occidentale;Médecine d'urgence;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Flandre occidentale;Néonatologie;2;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0
Flandre orientale;Toutes les spécialités;37;21;16;0;14;4;1;1;1;0;11;1;3;1;0;0
Flandre orientale;Réadaptation fonctionnelle et professionnelle des handicapés;10;5;5;0;1;3;0;1;0;0;4;0;1;0;0;0
Flandre orientale;Chirurgie orale et maxillo-faciale;2;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0
Flandre orientale;Soins intensifs;7;2;5;0;2;0;0;0;0;0;3;1;0;1;0;0
Flandre orientale;Médecine d'urgence;5;3;2;0;2;0;0;0;1;0;1;0;1;0;0;0
Flandre orientale;Endocrino-diabétologie;5;3;2;0;2;0;1;0;0;0;1;0;1;0;0;0
Flandre orientale;Néonatologie;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Flandre orientale;Oncologie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Flandre orientale;Hématologie clinique;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Flandre orientale;Infectiologie clinique;3;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0
Flandre orientale;Microbiologie médicale;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Anvers;Toutes les spécialités;35;22;13;1;20;1;0;0;0;0;12;0;0;1;0;0
Anvers;Réadaptation fonctionnelle et professionnelle des handicapés;4;3;1;0;2;1;0;0;0;0;0;0;0;1;0;0
Anvers;Chirurgie orale et maxillo-faciale;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Anvers;Soins intensifs;14;6;8;1;5;0;0;0;0;0;8;0;0;0;0;0
Anvers;Neurologie pédiatrique;4;3;1;0;3;0;0;0;0;0;1;0;0;0;0;0
Anvers;Médecine d'urgence;3;1;2;0;1;0;0;0;0;0;2;0;0;0;0;0
Anvers;Endocrino-diabétologie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Anvers;Néonatologie;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Anvers;Oncologie;4;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0
Anvers;Hématologie et oncologie pédiatrique;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Anvers;Hématologie clinique;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Limbourg;Toutes les spécialités;11;5;6;0;4;0;1;0;0;0;5;0;0;0;0;1
Limbourg;Réadaptation fonctionnelle et professionnelle des handicapés;2;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1
Limbourg;Chirurgie orale et maxillo-faciale;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Limbourg;Soins intensifs;6;3;3;0;3;0;0;0;0;0;3;0;0;0;0;0
Limbourg;Médecine d'urgence;2;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0
Brabant Wallon;Toutes les spécialités;10;5;5;0;3;2;0;0;0;0;1;1;0;1;2;0
Brabant Wallon;Réadaptation fonctionnelle et professionnelle des handicapés;5;3;2;0;1;2;0;0;0;0;0;0;0;1;1;0
Brabant Wallon;Neurologie pédiatrique;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Brabant Wallon;Médecine d'urgence;2;0;2;0;0;0;0;0;0;0;1;0;0;0;1;0
Brabant Wallon;Oncologie;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
Brabant Wallon;Hématologie clinique;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Hainaut;Toutes les spécialités;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0
Hainaut;Soins intensifs;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Hainaut;Hématologie clinique;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Liège;Toutes les spécialités;18;10;8;0;8;1;0;1;0;0;6;1;1;0;0;0
Liège;Réadaptation fonctionnelle et professionnelle des handicapés;3;2;1;0;1;1;0;0;0;0;0;1;0;0;0;0
Liège;Chirurgie orale et maxillo-faciale;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Liège;Soins intensifs;3;2;1;0;2;0;0;0;0;0;1;0;0;0;0;0
Liège;Neurologie pédiatrique;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Liège;Néphrologie;2;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0
Liège;Médecine d'urgence;3;1;2;0;0;0;0;1;0;0;1;0;1;0;0;0
Liège;Néonatologie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Liège;Hématologie clinique;4;3;1;0;3;0;0;0;0;0;1;0;0;0;0;0
Namur;Toutes les spécialités;7;3;4;0;1;1;0;1;0;1;1;2;0;0;0;0
Namur;Réadaptation fonctionnelle et professionnelle des handicapés;2;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0
Namur;Chirurgie orale et maxillo-faciale;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
Namur;Soins intensifs;3;0;3;0;0;0;0;0;0;0;1;2;0;0;0;0
Namur;Néphrologie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Luxembourg;Toutes les spécialités;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0
Luxembourg;Chirurgie orale et maxillo-faciale;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Luxembourg;Néphrologie;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Région de Bruxelles Capitale;Toutes les spécialités;32;11;21;0;9;1;1;0;0;0;16;2;2;1;0;0
Région de Bruxelles Capitale;Réadaptation fonctionnelle et professionnelle des handicapés;5;3;2;0;2;0;1;0;0;0;0;1;0;1;0;0
Région de Bruxelles Capitale;Chirurgie orale et maxillo-faciale;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0
Région de Bruxelles Capitale;Soins intensifs;13;5;8;0;4;1;0;0;0;0;6;1;1;0;0;0
Région de Bruxelles Capitale;Neurologie pédiatrique;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Région de Bruxelles Capitale;Néphrologie;2;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0
Région de Bruxelles Capitale;Endocrino-diabétologie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Néonatologie;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
Région de Bruxelles Capitale;Oncologie;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Région de Bruxelles Capitale;Hématologie clinique;3;1;2;0;1;0;0;0;0;0;2;0;0;0;0;0
Région de Bruxelles Capitale;Infectiologie clinique;3;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0
