gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
België;Alle paramedici;72232;61591;10641;6776;11776;9718;7192;6228;4294;4405;4552;3815;2835;1095;2191;1549;1061;872;754;677;786;813;843
Vlaams Gewest;Alle paramedici;44301;38023;6278;4790;7819;6136;4341;3674;2524;2550;2644;2172;1373;748;1385;848;566;485;420;369;447;481;529
Waals Gewest;Alle paramedici;22955;19448;3507;1497;2963;2851;2381;2199;1549;1642;1675;1449;1242;271;610;556;389;310;275;252;293;283;268
Brussels Hoofdstedelijk Gewest;Alle paramedici;4976;4120;856;489;994;731;470;355;221;213;233;194;220;76;196;145;106;77;59;56;46;49;46
Vlaams Brabant;Alle paramedici;7399;6175;1224;704;1177;955;750;597;431;423;465;415;258;119;247;147;106;87;93;75;115;128;107
West-Vlaanderen;Alle paramedici;9141;7799;1342;1021;1575;1259;888;785;483;511;566;430;281;134;285;163;129;98;98;88;109;102;136
Oost-Vlaanderen;Alle paramedici;10820;9375;1445;1186;2010;1541;1010;911;616;638;572;537;354;189;319;192;147;127;84;91;85;94;117
Antwerpen;Alle paramedici;11332;9806;1526;1338;2095;1538;1083;884;627;642;700;559;340;218;344;229;124;111;94;88;96;109;113
Limburg;Alle paramedici;5609;4868;741;541;962;843;610;497;367;336;341;231;140;88;190;117;60;62;51;27;42;48;56
Waals Brabant;Alle paramedici;2652;2231;421;131;297;290;271;261;202;182;223;193;181;15;61;65;50;45;40;37;33;39;36
Henegouwen;Alle paramedici;7973;6607;1366;549;1063;946;784;732;542;573;548;466;404;142;251;230;147;107;90;90;100;106;103
Luik;Alle paramedici;7308;6339;969;456;955;967;770;718;472;552;551;499;399;70;178;139;112;89;81;62;81;80;77
Namen;Alle paramedici;3466;2889;577;208;443;447;388;323;225;230;242;206;177;27;93;95;64;57;53;49;60;42;37
Luxemburg;Alle paramedici;1556;1382;174;153;205;201;168;165;108;105;111;85;81;17;27;27;16;12;11;14;19;16;15
Brussels Hoofdstedelijk Gewest;Alle paramedici;4976;4120;856;489;994;731;470;355;221;213;233;194;220;76;196;145;106;77;59;56;46;49;46
België;Farmaceutisch-technisch assistent;14127;12352;1775;1556;1844;1678;1287;1193;1013;1200;995;814;772;364;415;317;156;96;115;90;68;70;84
Vlaams Gewest;Farmaceutisch-technisch assistent;7266;6192;1074;909;1012;805;579;545;465;624;509;401;343;227;271;177;86;59;61;51;39;44;59
Waals Gewest;Farmaceutisch-technisch assistent;5764;5203;561;495;644;695;580;555;498;520;441;382;393;110;114;120;56;28;41;26;23;21;22
Brussels Hoofdstedelijk Gewest;Farmaceutisch-technisch assistent;1097;957;140;152;188;178;128;93;50;56;45;31;36;27;30;20;14;9;13;13;6;5;3
Vlaams Brabant;Farmaceutisch-technisch assistent;1146;931;215;127;147;118;109;85;70;96;73;66;40;50;57;25;14;11;13;11;12;12;10
West-Vlaanderen;Farmaceutisch-technisch assistent;1279;1111;168;152;145;118;90;106;82;134;112;91;81;32;33;24;16;16;14;8;4;9;12
